train_epoch=1, train_step=480, overall_auc=0.890535, user_auc=0.886704, overall_logloss=0.181654, user_ndcg5=0.322270, user_hr5=0.476140, user_ndcg10=0.378390, user_hr10=0.647932, user_ndcg20=0.421399, user_hr20=0.815483
train_epoch=2, train_step=960, overall_auc=0.899132, user_auc=0.894352, overall_logloss=0.177536, user_ndcg5=0.349636, user_hr5=0.517497, user_ndcg10=0.405798, user_hr10=0.690350, user_ndcg20=0.441009, user_hr20=0.828208
train_epoch=3, train_step=1440, overall_auc=0.900464, user_auc=0.895477, overall_logloss=0.178310, user_ndcg5=0.360258, user_hr5=0.530223, user_ndcg10=0.413274, user_hr10=0.693531, user_ndcg20=0.449979, user_hr20=0.838812
train_epoch=4, train_step=1920, overall_auc=0.899686, user_auc=0.895037, overall_logloss=0.179678, user_ndcg5=0.366354, user_hr5=0.531283, user_ndcg10=0.420332, user_hr10=0.697773, user_ndcg20=0.456009, user_hr20=0.838812
train_epoch=5, train_step=2400, overall_auc=0.897914, user_auc=0.893977, overall_logloss=0.182041, user_ndcg5=0.366692, user_hr5=0.534464, user_ndcg10=0.420573, user_hr10=0.700954, user_ndcg20=0.454253, user_hr20=0.833510
train_epoch=6, train_step=2880, overall_auc=0.895930, user_auc=0.892242, overall_logloss=0.185570, user_ndcg5=0.370066, user_hr5=0.538706, user_ndcg10=0.420503, user_hr10=0.692471, user_ndcg20=0.455355, user_hr20=0.829268
train_epoch=7, train_step=3360, overall_auc=0.894001, user_auc=0.889617, overall_logloss=0.189993, user_ndcg5=0.366169, user_hr5=0.533404, user_ndcg10=0.417099, user_hr10=0.689290, user_ndcg20=0.451681, user_hr20=0.825027
train_epoch=8, train_step=3840, overall_auc=0.892090, user_auc=0.887175, overall_logloss=0.194983, user_ndcg5=0.362407, user_hr5=0.531283, user_ndcg10=0.414960, user_hr10=0.692471, user_ndcg20=0.446862, user_hr20=0.818664
train_epoch=9, train_step=4320, overall_auc=0.890419, user_auc=0.884926, overall_logloss=0.200109, user_ndcg5=0.357789, user_hr5=0.524920, user_ndcg10=0.411289, user_hr10=0.689290, user_ndcg20=0.444034, user_hr20=0.819724
train_epoch=10, train_step=4800, overall_auc=0.889050, user_auc=0.883040, overall_logloss=0.205243, user_ndcg5=0.356734, user_hr5=0.528102, user_ndcg10=0.406870, user_hr10=0.681866, user_ndcg20=0.439142, user_hr20=0.809120
train_epoch=11, train_step=5280, overall_auc=0.887794, user_auc=0.881862, overall_logloss=0.210363, user_ndcg5=0.354432, user_hr5=0.528102, user_ndcg10=0.404603, user_hr10=0.682927, user_ndcg20=0.436693, user_hr20=0.810180
train_epoch=12, train_step=5760, overall_auc=0.886370, user_auc=0.880437, overall_logloss=0.215749, user_ndcg5=0.349185, user_hr5=0.516437, user_ndcg10=0.401507, user_hr10=0.677625, user_ndcg20=0.434655, user_hr20=0.809120
train_epoch=13, train_step=6240, overall_auc=0.884842, user_auc=0.879388, overall_logloss=0.221630, user_ndcg5=0.347080, user_hr5=0.513256, user_ndcg10=0.398522, user_hr10=0.671262, user_ndcg20=0.433641, user_hr20=0.810180
train_epoch=14, train_step=6720, overall_auc=0.883407, user_auc=0.878113, overall_logloss=0.227914, user_ndcg5=0.342833, user_hr5=0.507953, user_ndcg10=0.395923, user_hr10=0.671262, user_ndcg20=0.429949, user_hr20=0.805938
train_epoch=15, train_step=7200, overall_auc=0.882060, user_auc=0.876828, overall_logloss=0.234183, user_ndcg5=0.337704, user_hr5=0.504772, user_ndcg10=0.391054, user_hr10=0.669141, user_ndcg20=0.425905, user_hr20=0.806999
train_epoch=16, train_step=7680, overall_auc=0.880872, user_auc=0.876303, overall_logloss=0.240371, user_ndcg5=0.333831, user_hr5=0.495228, user_ndcg10=0.390374, user_hr10=0.669141, user_ndcg20=0.423029, user_hr20=0.797455
train_epoch=17, train_step=8160, overall_auc=0.879791, user_auc=0.875607, overall_logloss=0.246461, user_ndcg5=0.330407, user_hr5=0.489926, user_ndcg10=0.386396, user_hr10=0.661718, user_ndcg20=0.421244, user_hr20=0.798515
train_epoch=18, train_step=8640, overall_auc=0.878907, user_auc=0.874975, overall_logloss=0.251944, user_ndcg5=0.324697, user_hr5=0.485684, user_ndcg10=0.383329, user_hr10=0.665960, user_ndcg20=0.415835, user_hr20=0.793213
train_epoch=19, train_step=9120, overall_auc=0.878148, user_auc=0.874653, overall_logloss=0.257279, user_ndcg5=0.323941, user_hr5=0.478261, user_ndcg10=0.383935, user_hr10=0.661718, user_ndcg20=0.418139, user_hr20=0.795334
train_epoch=20, train_step=9600, overall_auc=0.877466, user_auc=0.874310, overall_logloss=0.261931, user_ndcg5=0.320834, user_hr5=0.471898, user_ndcg10=0.382986, user_hr10=0.662778, user_ndcg20=0.417118, user_hr20=0.796394
