train_epoch=1, train_step=480, overall_auc=0.891437, user_auc=0.886875, overall_logloss=0.178439, user_ndcg5=0.322649, user_hr5=0.470838, user_ndcg10=0.382792, user_hr10=0.655355, user_ndcg20=0.424791, user_hr20=0.819724
train_epoch=2, train_step=960, overall_auc=0.899719, user_auc=0.894523, overall_logloss=0.176857, user_ndcg5=0.352994, user_hr5=0.518558, user_ndcg10=0.412054, user_hr10=0.700954, user_ndcg20=0.445097, user_hr20=0.831389
train_epoch=3, train_step=1440, overall_auc=0.901150, user_auc=0.895423, overall_logloss=0.178142, user_ndcg5=0.361371, user_hr5=0.524920, user_ndcg10=0.420299, user_hr10=0.706257, user_ndcg20=0.453726, user_hr20=0.837752
train_epoch=4, train_step=1920, overall_auc=0.900645, user_auc=0.895241, overall_logloss=0.179730, user_ndcg5=0.365758, user_hr5=0.520679, user_ndcg10=0.426567, user_hr10=0.707317, user_ndcg20=0.460939, user_hr20=0.841994
train_epoch=5, train_step=2400, overall_auc=0.899095, user_auc=0.894577, overall_logloss=0.182144, user_ndcg5=0.373168, user_hr5=0.530223, user_ndcg10=0.432390, user_hr10=0.712619, user_ndcg20=0.463783, user_hr20=0.835631
train_epoch=6, train_step=2880, overall_auc=0.896936, user_auc=0.892445, overall_logloss=0.185634, user_ndcg5=0.367262, user_hr5=0.525981, user_ndcg10=0.423329, user_hr10=0.696713, user_ndcg20=0.458065, user_hr20=0.832450
train_epoch=7, train_step=3360, overall_auc=0.894554, user_auc=0.889617, overall_logloss=0.190515, user_ndcg5=0.368988, user_hr5=0.532344, user_ndcg10=0.420513, user_hr10=0.691410, user_ndcg20=0.453295, user_hr20=0.818664
train_epoch=8, train_step=3840, overall_auc=0.892340, user_auc=0.887282, overall_logloss=0.196238, user_ndcg5=0.367808, user_hr5=0.531283, user_ndcg10=0.418704, user_hr10=0.689290, user_ndcg20=0.452801, user_hr20=0.822906
train_epoch=9, train_step=4320, overall_auc=0.890288, user_auc=0.884947, overall_logloss=0.202866, user_ndcg5=0.362971, user_hr5=0.528102, user_ndcg10=0.411660, user_hr10=0.677625, user_ndcg20=0.446879, user_hr20=0.815483
train_epoch=10, train_step=4800, overall_auc=0.888125, user_auc=0.882366, overall_logloss=0.209848, user_ndcg5=0.360717, user_hr5=0.529162, user_ndcg10=0.409920, user_hr10=0.680806, user_ndcg20=0.442983, user_hr20=0.811241
train_epoch=11, train_step=5280, overall_auc=0.885930, user_auc=0.879677, overall_logloss=0.216797, user_ndcg5=0.356537, user_hr5=0.520679, user_ndcg10=0.407576, user_hr10=0.677625, user_ndcg20=0.439766, user_hr20=0.804878
train_epoch=12, train_step=5760, overall_auc=0.883822, user_auc=0.877170, overall_logloss=0.223734, user_ndcg5=0.349496, user_hr5=0.515376, user_ndcg10=0.400232, user_hr10=0.672322, user_ndcg20=0.432641, user_hr20=0.799576
train_epoch=13, train_step=6240, overall_auc=0.881833, user_auc=0.875146, overall_logloss=0.230340, user_ndcg5=0.343820, user_hr5=0.505832, user_ndcg10=0.397434, user_hr10=0.671262, user_ndcg20=0.429546, user_hr20=0.797455
train_epoch=14, train_step=6720, overall_auc=0.879980, user_auc=0.873711, overall_logloss=0.236501, user_ndcg5=0.341105, user_hr5=0.502651, user_ndcg10=0.393415, user_hr10=0.662778, user_ndcg20=0.426254, user_hr20=0.791092
train_epoch=15, train_step=7200, overall_auc=0.878218, user_auc=0.872040, overall_logloss=0.242215, user_ndcg5=0.335909, user_hr5=0.497349, user_ndcg10=0.387967, user_hr10=0.656416, user_ndcg20=0.422835, user_hr20=0.793213
train_epoch=16, train_step=7680, overall_auc=0.876512, user_auc=0.870594, overall_logloss=0.247989, user_ndcg5=0.334412, user_hr5=0.497349, user_ndcg10=0.384298, user_hr10=0.650053, user_ndcg20=0.419128, user_hr20=0.786850
train_epoch=17, train_step=8160, overall_auc=0.874986, user_auc=0.869212, overall_logloss=0.253952, user_ndcg5=0.328285, user_hr5=0.493107, user_ndcg10=0.378992, user_hr10=0.648993, user_ndcg20=0.413187, user_hr20=0.783669
train_epoch=18, train_step=8640, overall_auc=0.873624, user_auc=0.868301, overall_logloss=0.259803, user_ndcg5=0.327771, user_hr5=0.486744, user_ndcg10=0.379865, user_hr10=0.646872, user_ndcg20=0.414323, user_hr20=0.782609
train_epoch=19, train_step=9120, overall_auc=0.872503, user_auc=0.867712, overall_logloss=0.265739, user_ndcg5=0.325770, user_hr5=0.480382, user_ndcg10=0.379335, user_hr10=0.644751, user_ndcg20=0.413372, user_hr20=0.778367
train_epoch=20, train_step=9600, overall_auc=0.871607, user_auc=0.866823, overall_logloss=0.271354, user_ndcg5=0.322695, user_hr5=0.471898, user_ndcg10=0.377940, user_hr10=0.640509, user_ndcg20=0.412586, user_hr20=0.776246
