train_epoch=1, train_step=480, overall_auc=0.891006, user_auc=0.887025, overall_logloss=0.180328, user_ndcg5=0.320091, user_hr5=0.471898, user_ndcg10=0.379286, user_hr10=0.653234, user_ndcg20=0.421613, user_hr20=0.818664
train_epoch=2, train_step=960, overall_auc=0.899128, user_auc=0.893666, overall_logloss=0.176724, user_ndcg5=0.346425, user_hr5=0.513256, user_ndcg10=0.406296, user_hr10=0.696713, user_ndcg20=0.438125, user_hr20=0.821845
train_epoch=3, train_step=1440, overall_auc=0.900569, user_auc=0.895252, overall_logloss=0.177575, user_ndcg5=0.362002, user_hr5=0.531283, user_ndcg10=0.415918, user_hr10=0.697773, user_ndcg20=0.451708, user_hr20=0.838812
train_epoch=4, train_step=1920, overall_auc=0.899793, user_auc=0.895091, overall_logloss=0.178759, user_ndcg5=0.366607, user_hr5=0.527041, user_ndcg10=0.421843, user_hr10=0.696713, user_ndcg20=0.459120, user_hr20=0.841994
train_epoch=5, train_step=2400, overall_auc=0.898154, user_auc=0.893859, overall_logloss=0.180538, user_ndcg5=0.369329, user_hr5=0.535525, user_ndcg10=0.422796, user_hr10=0.699894, user_ndcg20=0.459034, user_hr20=0.841994
train_epoch=6, train_step=2880, overall_auc=0.896289, user_auc=0.892134, overall_logloss=0.183521, user_ndcg5=0.370335, user_hr5=0.539767, user_ndcg10=0.422905, user_hr10=0.702015, user_ndcg20=0.456466, user_hr20=0.833510
train_epoch=7, train_step=3360, overall_auc=0.894413, user_auc=0.889799, overall_logloss=0.188183, user_ndcg5=0.369357, user_hr5=0.538706, user_ndcg10=0.419876, user_hr10=0.694592, user_ndcg20=0.454546, user_hr20=0.830329
train_epoch=8, train_step=3840, overall_auc=0.892538, user_auc=0.887454, overall_logloss=0.194523, user_ndcg5=0.365592, user_hr5=0.532344, user_ndcg10=0.416431, user_hr10=0.689290, user_ndcg20=0.449550, user_hr20=0.818664
train_epoch=9, train_step=4320, overall_auc=0.890752, user_auc=0.885033, overall_logloss=0.201591, user_ndcg5=0.363339, user_hr5=0.524920, user_ndcg10=0.416190, user_hr10=0.687169, user_ndcg20=0.448203, user_hr20=0.812301
train_epoch=10, train_step=4800, overall_auc=0.889109, user_auc=0.883565, overall_logloss=0.208546, user_ndcg5=0.362524, user_hr5=0.529162, user_ndcg10=0.412642, user_hr10=0.683987, user_ndcg20=0.444797, user_hr20=0.810180
train_epoch=11, train_step=5280, overall_auc=0.887662, user_auc=0.882226, overall_logloss=0.215261, user_ndcg5=0.358862, user_hr5=0.528102, user_ndcg10=0.406997, user_hr10=0.677625, user_ndcg20=0.441298, user_hr20=0.812301
train_epoch=12, train_step=5760, overall_auc=0.886471, user_auc=0.881069, overall_logloss=0.221547, user_ndcg5=0.352082, user_hr5=0.515376, user_ndcg10=0.404188, user_hr10=0.676564, user_ndcg20=0.438883, user_hr20=0.813362
train_epoch=13, train_step=6240, overall_auc=0.885392, user_auc=0.879805, overall_logloss=0.227569, user_ndcg5=0.350163, user_hr5=0.517497, user_ndcg10=0.399020, user_hr10=0.669141, user_ndcg20=0.435054, user_hr20=0.810180
train_epoch=14, train_step=6720, overall_auc=0.884378, user_auc=0.878520, overall_logloss=0.233535, user_ndcg5=0.342730, user_hr5=0.511135, user_ndcg10=0.394041, user_hr10=0.670201, user_ndcg20=0.430033, user_hr20=0.812301
train_epoch=15, train_step=7200, overall_auc=0.883362, user_auc=0.877385, overall_logloss=0.239539, user_ndcg5=0.343006, user_hr5=0.514316, user_ndcg10=0.391673, user_hr10=0.664899, user_ndcg20=0.427330, user_hr20=0.804878
train_epoch=16, train_step=7680, overall_auc=0.882403, user_auc=0.876785, overall_logloss=0.245451, user_ndcg5=0.341308, user_hr5=0.509014, user_ndcg10=0.393024, user_hr10=0.669141, user_ndcg20=0.426180, user_hr20=0.799576
train_epoch=17, train_step=8160, overall_auc=0.881511, user_auc=0.876067, overall_logloss=0.250945, user_ndcg5=0.342033, user_hr5=0.505832, user_ndcg10=0.394741, user_hr10=0.669141, user_ndcg20=0.427819, user_hr20=0.799576
train_epoch=18, train_step=8640, overall_auc=0.880827, user_auc=0.875607, overall_logloss=0.256208, user_ndcg5=0.342407, user_hr5=0.506893, user_ndcg10=0.392039, user_hr10=0.659597, user_ndcg20=0.426050, user_hr20=0.792153
train_epoch=19, train_step=9120, overall_auc=0.880105, user_auc=0.874932, overall_logloss=0.261224, user_ndcg5=0.339127, user_hr5=0.501591, user_ndcg10=0.390721, user_hr10=0.659597, user_ndcg20=0.422695, user_hr20=0.783669
train_epoch=20, train_step=9600, overall_auc=0.879443, user_auc=0.874450, overall_logloss=0.265619, user_ndcg5=0.336460, user_hr5=0.493107, user_ndcg10=0.391565, user_hr10=0.661718, user_ndcg20=0.422811, user_hr20=0.783669
