train_epoch=1, train_step=480, overall_auc=0.676358, user_auc=0.674749, overall_logloss=0.226215, user_ndcg5=0.114210, user_hr5=0.176034, user_ndcg10=0.144291, user_hr10=0.269353, user_ndcg20=0.183823, user_hr20=0.426299
train_epoch=2, train_step=960, overall_auc=0.794083, user_auc=0.786893, overall_logloss=0.218552, user_ndcg5=0.167997, user_hr5=0.251326, user_ndcg10=0.214133, user_hr10=0.394486, user_ndcg20=0.262604, user_hr20=0.586426
train_epoch=3, train_step=1440, overall_auc=0.847192, user_auc=0.840815, overall_logloss=0.204903, user_ndcg5=0.246994, user_hr5=0.358431, user_ndcg10=0.306757, user_hr10=0.542948, user_ndcg20=0.354947, user_hr20=0.732768
train_epoch=4, train_step=1920, overall_auc=0.874992, user_auc=0.867209, overall_logloss=0.187609, user_ndcg5=0.301186, user_hr5=0.465536, user_ndcg10=0.350410, user_hr10=0.617179, user_ndcg20=0.389004, user_hr20=0.768823
train_epoch=5, train_step=2400, overall_auc=0.887921, user_auc=0.879966, overall_logloss=0.168394, user_ndcg5=0.316399, user_hr5=0.478261, user_ndcg10=0.374031, user_hr10=0.654295, user_ndcg20=0.410500, user_hr20=0.798515
train_epoch=6, train_step=2880, overall_auc=0.893575, user_auc=0.885450, overall_logloss=0.162286, user_ndcg5=0.324681, user_hr5=0.490986, user_ndcg10=0.382723, user_hr10=0.668081, user_ndcg20=0.421168, user_hr20=0.819724
train_epoch=7, train_step=3360, overall_auc=0.896661, user_auc=0.888460, overall_logloss=0.161452, user_ndcg5=0.331269, user_hr5=0.498409, user_ndcg10=0.387882, user_hr10=0.670201, user_ndcg20=0.428353, user_hr20=0.829268
train_epoch=8, train_step=3840, overall_auc=0.898787, user_auc=0.890871, overall_logloss=0.163337, user_ndcg5=0.341100, user_hr5=0.505832, user_ndcg10=0.397534, user_hr10=0.678685, user_ndcg20=0.436710, user_hr20=0.832450
train_epoch=9, train_step=4320, overall_auc=0.900282, user_auc=0.892788, overall_logloss=0.166776, user_ndcg5=0.343392, user_hr5=0.506893, user_ndcg10=0.403741, user_hr10=0.692471, user_ndcg20=0.440546, user_hr20=0.837752
train_epoch=10, train_step=4800, overall_auc=0.901145, user_auc=0.893677, overall_logloss=0.170142, user_ndcg5=0.351188, user_hr5=0.510074, user_ndcg10=0.410688, user_hr10=0.692471, user_ndcg20=0.446475, user_hr20=0.832450
train_epoch=11, train_step=5280, overall_auc=0.901560, user_auc=0.894191, overall_logloss=0.172698, user_ndcg5=0.355440, user_hr5=0.517497, user_ndcg10=0.410864, user_hr10=0.687169, user_ndcg20=0.449034, user_hr20=0.835631
train_epoch=12, train_step=5760, overall_auc=0.901780, user_auc=0.894748, overall_logloss=0.174626, user_ndcg5=0.362286, user_hr5=0.524920, user_ndcg10=0.415591, user_hr10=0.689290, user_ndcg20=0.453435, user_hr20=0.836691
train_epoch=13, train_step=6240, overall_auc=0.901981, user_auc=0.894930, overall_logloss=0.176038, user_ndcg5=0.365129, user_hr5=0.524920, user_ndcg10=0.418316, user_hr10=0.689290, user_ndcg20=0.456494, user_hr20=0.838812
train_epoch=14, train_step=6720, overall_auc=0.902115, user_auc=0.895155, overall_logloss=0.177189, user_ndcg5=0.365327, user_hr5=0.520679, user_ndcg10=0.420535, user_hr10=0.690350, user_ndcg20=0.458080, user_hr20=0.837752
train_epoch=15, train_step=7200, overall_auc=0.902140, user_auc=0.895337, overall_logloss=0.178244, user_ndcg5=0.365022, user_hr5=0.527041, user_ndcg10=0.417451, user_hr10=0.688229, user_ndcg20=0.457002, user_hr20=0.844115
train_epoch=16, train_step=7680, overall_auc=0.902018, user_auc=0.895423, overall_logloss=0.179424, user_ndcg5=0.363690, user_hr5=0.527041, user_ndcg10=0.414634, user_hr10=0.682927, user_ndcg20=0.456248, user_hr20=0.846235
train_epoch=17, train_step=8160, overall_auc=0.901778, user_auc=0.895562, overall_logloss=0.180825, user_ndcg5=0.363992, user_hr5=0.523860, user_ndcg10=0.416708, user_hr10=0.683987, user_ndcg20=0.456073, user_hr20=0.837752
train_epoch=18, train_step=8640, overall_auc=0.901409, user_auc=0.895241, overall_logloss=0.182618, user_ndcg5=0.364039, user_hr5=0.527041, user_ndcg10=0.417178, user_hr10=0.689290, user_ndcg20=0.455165, user_hr20=0.838812
train_epoch=19, train_step=9120, overall_auc=0.900908, user_auc=0.895037, overall_logloss=0.184877, user_ndcg5=0.368470, user_hr5=0.530223, user_ndcg10=0.421594, user_hr10=0.693531, user_ndcg20=0.457562, user_hr20=0.834571
train_epoch=20, train_step=9600, overall_auc=0.900290, user_auc=0.894373, overall_logloss=0.187605, user_ndcg5=0.371000, user_hr5=0.533404, user_ndcg10=0.421561, user_hr10=0.689290, user_ndcg20=0.460170, user_hr20=0.840933
