train_epoch=1, train_step=480, overall_auc=0.696224, user_auc=0.695456, overall_logloss=0.223581, user_ndcg5=0.128276, user_hr5=0.197243, user_ndcg10=0.159628, user_hr10=0.295864, user_ndcg20=0.200427, user_hr20=0.459173
train_epoch=2, train_step=960, overall_auc=0.797066, user_auc=0.789818, overall_logloss=0.218403, user_ndcg5=0.167863, user_hr5=0.255567, user_ndcg10=0.214934, user_hr10=0.402969, user_ndcg20=0.262217, user_hr20=0.591729
train_epoch=3, train_step=1440, overall_auc=0.851478, user_auc=0.844190, overall_logloss=0.202779, user_ndcg5=0.258880, user_hr5=0.375398, user_ndcg10=0.321621, user_hr10=0.570520, user_ndcg20=0.361777, user_hr20=0.729586
train_epoch=4, train_step=1920, overall_auc=0.877283, user_auc=0.869844, overall_logloss=0.184229, user_ndcg5=0.310904, user_hr5=0.475080, user_ndcg10=0.359428, user_hr10=0.624602, user_ndcg20=0.398174, user_hr20=0.778367
train_epoch=5, train_step=2400, overall_auc=0.888639, user_auc=0.881530, overall_logloss=0.169377, user_ndcg5=0.320571, user_hr5=0.485684, user_ndcg10=0.376754, user_hr10=0.658537, user_ndcg20=0.413935, user_hr20=0.805938
train_epoch=6, train_step=2880, overall_auc=0.893530, user_auc=0.885643, overall_logloss=0.164431, user_ndcg5=0.329133, user_hr5=0.499470, user_ndcg10=0.383545, user_hr10=0.665960, user_ndcg20=0.422034, user_hr20=0.817603
train_epoch=7, train_step=3360, overall_auc=0.896368, user_auc=0.888364, overall_logloss=0.162207, user_ndcg5=0.332663, user_hr5=0.501591, user_ndcg10=0.390104, user_hr10=0.677625, user_ndcg20=0.427074, user_hr20=0.822906
train_epoch=8, train_step=3840, overall_auc=0.898350, user_auc=0.890153, overall_logloss=0.162749, user_ndcg5=0.340325, user_hr5=0.507953, user_ndcg10=0.396461, user_hr10=0.679745, user_ndcg20=0.433391, user_hr20=0.823966
train_epoch=9, train_step=4320, overall_auc=0.899691, user_auc=0.892156, overall_logloss=0.166030, user_ndcg5=0.349260, user_hr5=0.514316, user_ndcg10=0.404714, user_hr10=0.683987, user_ndcg20=0.442033, user_hr20=0.830329
train_epoch=10, train_step=4800, overall_auc=0.900430, user_auc=0.892884, overall_logloss=0.170383, user_ndcg5=0.354550, user_hr5=0.516437, user_ndcg10=0.411302, user_hr10=0.691410, user_ndcg20=0.447012, user_hr20=0.831389
train_epoch=11, train_step=5280, overall_auc=0.900775, user_auc=0.892809, overall_logloss=0.173929, user_ndcg5=0.357960, user_hr5=0.518558, user_ndcg10=0.412571, user_hr10=0.687169, user_ndcg20=0.449916, user_hr20=0.833510
train_epoch=12, train_step=5760, overall_auc=0.900923, user_auc=0.893088, overall_logloss=0.176226, user_ndcg5=0.357442, user_hr5=0.514316, user_ndcg10=0.413435, user_hr10=0.686108, user_ndcg20=0.451604, user_hr20=0.835631
train_epoch=13, train_step=6240, overall_auc=0.900960, user_auc=0.893538, overall_logloss=0.177786, user_ndcg5=0.360400, user_hr5=0.515376, user_ndcg10=0.417890, user_hr10=0.693531, user_ndcg20=0.453757, user_hr20=0.834571
train_epoch=14, train_step=6720, overall_auc=0.900863, user_auc=0.893720, overall_logloss=0.179050, user_ndcg5=0.367624, user_hr5=0.525981, user_ndcg10=0.423273, user_hr10=0.699894, user_ndcg20=0.456933, user_hr20=0.832450
train_epoch=15, train_step=7200, overall_auc=0.900634, user_auc=0.893570, overall_logloss=0.180404, user_ndcg5=0.365278, user_hr5=0.518558, user_ndcg10=0.419286, user_hr10=0.686108, user_ndcg20=0.456477, user_hr20=0.831389
train_epoch=16, train_step=7680, overall_auc=0.900330, user_auc=0.893559, overall_logloss=0.181838, user_ndcg5=0.369505, user_hr5=0.525981, user_ndcg10=0.418803, user_hr10=0.678685, user_ndcg20=0.459483, user_hr20=0.837752
train_epoch=17, train_step=8160, overall_auc=0.899946, user_auc=0.893099, overall_logloss=0.183352, user_ndcg5=0.367195, user_hr5=0.527041, user_ndcg10=0.416936, user_hr10=0.680806, user_ndcg20=0.457314, user_hr20=0.839873
train_epoch=18, train_step=8640, overall_auc=0.899486, user_auc=0.893131, overall_logloss=0.184968, user_ndcg5=0.364249, user_hr5=0.527041, user_ndcg10=0.413922, user_hr10=0.680806, user_ndcg20=0.454101, user_hr20=0.838812
train_epoch=19, train_step=9120, overall_auc=0.898895, user_auc=0.893163, overall_logloss=0.186698, user_ndcg5=0.366218, user_hr5=0.524920, user_ndcg10=0.418449, user_hr10=0.686108, user_ndcg20=0.455727, user_hr20=0.832450
train_epoch=20, train_step=9600, overall_auc=0.898207, user_auc=0.892702, overall_logloss=0.188566, user_ndcg5=0.369171, user_hr5=0.522800, user_ndcg10=0.422020, user_hr10=0.686108, user_ndcg20=0.459238, user_hr20=0.832450
