train_epoch=1, train_step=480, overall_auc=0.876137, user_auc=0.871236, overall_logloss=0.173934, user_ndcg5=0.306924, user_hr5=0.454931, user_ndcg10=0.366340, user_hr10=0.638388, user_ndcg20=0.405866, user_hr20=0.794274
train_epoch=2, train_step=960, overall_auc=0.891307, user_auc=0.885675, overall_logloss=0.158202, user_ndcg5=0.320100, user_hr5=0.474019, user_ndcg10=0.382888, user_hr10=0.667020, user_ndcg20=0.418859, user_hr20=0.809120
train_epoch=3, train_step=1440, overall_auc=0.897196, user_auc=0.890228, overall_logloss=0.163512, user_ndcg5=0.330248, user_hr5=0.484624, user_ndcg10=0.394207, user_hr10=0.680806, user_ndcg20=0.430837, user_hr20=0.826087
train_epoch=4, train_step=1920, overall_auc=0.899971, user_auc=0.892734, overall_logloss=0.163701, user_ndcg5=0.340908, user_hr5=0.500530, user_ndcg10=0.401163, user_hr10=0.685048, user_ndcg20=0.440573, user_hr20=0.840933
train_epoch=5, train_step=2400, overall_auc=0.903091, user_auc=0.895744, overall_logloss=0.158853, user_ndcg5=0.346675, user_hr5=0.513256, user_ndcg10=0.406616, user_hr10=0.695652, user_ndcg20=0.445890, user_hr20=0.850477
train_epoch=6, train_step=2880, overall_auc=0.903983, user_auc=0.896698, overall_logloss=0.159036, user_ndcg5=0.361701, user_hr5=0.532344, user_ndcg10=0.416370, user_hr10=0.699894, user_ndcg20=0.454908, user_hr20=0.851538
train_epoch=7, train_step=3360, overall_auc=0.903154, user_auc=0.895102, overall_logloss=0.159872, user_ndcg5=0.358617, user_hr5=0.523860, user_ndcg10=0.416619, user_hr10=0.702015, user_ndcg20=0.452544, user_hr20=0.844115
train_epoch=8, train_step=3840, overall_auc=0.901289, user_auc=0.893388, overall_logloss=0.162552, user_ndcg5=0.360777, user_hr5=0.530223, user_ndcg10=0.416835, user_hr10=0.703075, user_ndcg20=0.450881, user_hr20=0.837752
train_epoch=9, train_step=4320, overall_auc=0.900695, user_auc=0.892649, overall_logloss=0.167373, user_ndcg5=0.359557, user_hr5=0.529162, user_ndcg10=0.416748, user_hr10=0.705196, user_ndcg20=0.448187, user_hr20=0.829268
train_epoch=10, train_step=4800, overall_auc=0.899567, user_auc=0.891085, overall_logloss=0.171506, user_ndcg5=0.355962, user_hr5=0.518558, user_ndcg10=0.415809, user_hr10=0.702015, user_ndcg20=0.448170, user_hr20=0.829268
train_epoch=11, train_step=5280, overall_auc=0.899269, user_auc=0.890721, overall_logloss=0.177029, user_ndcg5=0.357575, user_hr5=0.510074, user_ndcg10=0.421382, user_hr10=0.706257, user_ndcg20=0.451085, user_hr20=0.822906
train_epoch=12, train_step=5760, overall_auc=0.897788, user_auc=0.889467, overall_logloss=0.186377, user_ndcg5=0.356030, user_hr5=0.509014, user_ndcg10=0.416786, user_hr10=0.695652, user_ndcg20=0.447889, user_hr20=0.816543
train_epoch=13, train_step=6240, overall_auc=0.896247, user_auc=0.888771, overall_logloss=0.189952, user_ndcg5=0.353928, user_hr5=0.511135, user_ndcg10=0.412396, user_hr10=0.691410, user_ndcg20=0.446526, user_hr20=0.826087
train_epoch=14, train_step=6720, overall_auc=0.895071, user_auc=0.887582, overall_logloss=0.191990, user_ndcg5=0.356421, user_hr5=0.513256, user_ndcg10=0.411255, user_hr10=0.681866, user_ndcg20=0.447111, user_hr20=0.822906
train_epoch=15, train_step=7200, overall_auc=0.893794, user_auc=0.886479, overall_logloss=0.198110, user_ndcg5=0.353860, user_hr5=0.511135, user_ndcg10=0.406542, user_hr10=0.674443, user_ndcg20=0.441987, user_hr20=0.813362
train_epoch=16, train_step=7680, overall_auc=0.891910, user_auc=0.885033, overall_logloss=0.203232, user_ndcg5=0.349281, user_hr5=0.503712, user_ndcg10=0.401062, user_hr10=0.663839, user_ndcg20=0.440700, user_hr20=0.819724
train_epoch=17, train_step=8160, overall_auc=0.889719, user_auc=0.883929, overall_logloss=0.207467, user_ndcg5=0.344919, user_hr5=0.497349, user_ndcg10=0.397960, user_hr10=0.660657, user_ndcg20=0.437064, user_hr20=0.814422
train_epoch=18, train_step=8640, overall_auc=0.889045, user_auc=0.884004, overall_logloss=0.206087, user_ndcg5=0.343372, user_hr5=0.492047, user_ndcg10=0.398095, user_hr10=0.659597, user_ndcg20=0.437579, user_hr20=0.815483
train_epoch=19, train_step=9120, overall_auc=0.888236, user_auc=0.883105, overall_logloss=0.213497, user_ndcg5=0.340036, user_hr5=0.488865, user_ndcg10=0.394813, user_hr10=0.656416, user_ndcg20=0.434695, user_hr20=0.813362
train_epoch=20, train_step=9600, overall_auc=0.886504, user_auc=0.881605, overall_logloss=0.218873, user_ndcg5=0.336882, user_hr5=0.481442, user_ndcg10=0.394236, user_hr10=0.658537, user_ndcg20=0.432788, user_hr20=0.810180
