train_epoch=1, train_step=480, overall_auc=0.880738, user_auc=0.876506, overall_logloss=0.170293, user_ndcg5=0.304508, user_hr5=0.453871, user_ndcg10=0.367469, user_hr10=0.650053, user_ndcg20=0.405765, user_hr20=0.799576
train_epoch=2, train_step=960, overall_auc=0.896259, user_auc=0.889574, overall_logloss=0.164913, user_ndcg5=0.332538, user_hr5=0.490986, user_ndcg10=0.392158, user_hr10=0.674443, user_ndcg20=0.430344, user_hr20=0.826087
train_epoch=3, train_step=1440, overall_auc=0.900624, user_auc=0.893270, overall_logloss=0.168565, user_ndcg5=0.346514, user_hr5=0.512195, user_ndcg10=0.404220, user_hr10=0.690350, user_ndcg20=0.440589, user_hr20=0.834571
train_epoch=4, train_step=1920, overall_auc=0.902489, user_auc=0.895252, overall_logloss=0.172050, user_ndcg5=0.348903, user_hr5=0.519618, user_ndcg10=0.408857, user_hr10=0.705196, user_ndcg20=0.441954, user_hr20=0.836691
train_epoch=5, train_step=2400, overall_auc=0.901574, user_auc=0.895059, overall_logloss=0.170492, user_ndcg5=0.360177, user_hr5=0.532344, user_ndcg10=0.415556, user_hr10=0.705196, user_ndcg20=0.448760, user_hr20=0.836691
train_epoch=6, train_step=2880, overall_auc=0.901068, user_auc=0.894684, overall_logloss=0.168681, user_ndcg5=0.364089, user_hr5=0.536585, user_ndcg10=0.416298, user_hr10=0.698834, user_ndcg20=0.451726, user_hr20=0.838812
train_epoch=7, train_step=3360, overall_auc=0.900039, user_auc=0.892863, overall_logloss=0.171000, user_ndcg5=0.360096, user_hr5=0.524920, user_ndcg10=0.412292, user_hr10=0.685048, user_ndcg20=0.449973, user_hr20=0.832450
train_epoch=8, train_step=3840, overall_auc=0.898558, user_auc=0.890913, overall_logloss=0.171535, user_ndcg5=0.357483, user_hr5=0.519618, user_ndcg10=0.413725, user_hr10=0.693531, user_ndcg20=0.448347, user_hr20=0.830329
train_epoch=9, train_step=4320, overall_auc=0.896806, user_auc=0.888975, overall_logloss=0.173548, user_ndcg5=0.353645, user_hr5=0.513256, user_ndcg10=0.412115, user_hr10=0.693531, user_ndcg20=0.445237, user_hr20=0.823966
train_epoch=10, train_step=4800, overall_auc=0.894846, user_auc=0.887486, overall_logloss=0.174266, user_ndcg5=0.353486, user_hr5=0.507953, user_ndcg10=0.413098, user_hr10=0.692471, user_ndcg20=0.446758, user_hr20=0.825027
train_epoch=11, train_step=5280, overall_auc=0.894403, user_auc=0.887068, overall_logloss=0.174830, user_ndcg5=0.350226, user_hr5=0.506893, user_ndcg10=0.409126, user_hr10=0.688229, user_ndcg20=0.444389, user_hr20=0.827147
train_epoch=12, train_step=5760, overall_auc=0.895583, user_auc=0.889060, overall_logloss=0.175667, user_ndcg5=0.353813, user_hr5=0.512195, user_ndcg10=0.411540, user_hr10=0.691410, user_ndcg20=0.448308, user_hr20=0.837752
train_epoch=13, train_step=6240, overall_auc=0.895452, user_auc=0.888675, overall_logloss=0.179183, user_ndcg5=0.357176, user_hr5=0.519618, user_ndcg10=0.411100, user_hr10=0.687169, user_ndcg20=0.446454, user_hr20=0.826087
train_epoch=14, train_step=6720, overall_auc=0.893964, user_auc=0.886714, overall_logloss=0.181580, user_ndcg5=0.342554, user_hr5=0.502651, user_ndcg10=0.400655, user_hr10=0.681866, user_ndcg20=0.436727, user_hr20=0.822906
train_epoch=15, train_step=7200, overall_auc=0.892940, user_auc=0.886232, overall_logloss=0.182294, user_ndcg5=0.343365, user_hr5=0.501591, user_ndcg10=0.402899, user_hr10=0.685048, user_ndcg20=0.437275, user_hr20=0.819724
train_epoch=16, train_step=7680, overall_auc=0.893111, user_auc=0.886586, overall_logloss=0.187922, user_ndcg5=0.343739, user_hr5=0.501591, user_ndcg10=0.400284, user_hr10=0.673383, user_ndcg20=0.439056, user_hr20=0.825027
train_epoch=17, train_step=8160, overall_auc=0.892415, user_auc=0.886115, overall_logloss=0.192506, user_ndcg5=0.344935, user_hr5=0.505832, user_ndcg10=0.399133, user_hr10=0.672322, user_ndcg20=0.438547, user_hr20=0.827147
train_epoch=18, train_step=8640, overall_auc=0.890619, user_auc=0.883951, overall_logloss=0.208368, user_ndcg5=0.345504, user_hr5=0.496288, user_ndcg10=0.400157, user_hr10=0.664899, user_ndcg20=0.439946, user_hr20=0.820785
train_epoch=19, train_step=9120, overall_auc=0.887865, user_auc=0.880770, overall_logloss=0.220247, user_ndcg5=0.338927, user_hr5=0.487805, user_ndcg10=0.395277, user_hr10=0.661718, user_ndcg20=0.434609, user_hr20=0.816543
train_epoch=20, train_step=9600, overall_auc=0.886793, user_auc=0.879730, overall_logloss=0.221314, user_ndcg5=0.338672, user_hr5=0.494168, user_ndcg10=0.390333, user_hr10=0.653234, user_ndcg20=0.428247, user_hr20=0.801697
