train_epoch=1, train_step=480, overall_auc=0.870946, user_auc=0.864242, overall_logloss=0.179511, user_ndcg5=0.294068, user_hr5=0.434783, user_ndcg10=0.345167, user_hr10=0.593849, user_ndcg20=0.393810, user_hr20=0.784730
train_epoch=2, train_step=960, overall_auc=0.899835, user_auc=0.894395, overall_logloss=0.157391, user_ndcg5=0.332970, user_hr5=0.498409, user_ndcg10=0.394115, user_hr10=0.687169, user_ndcg20=0.432659, user_hr20=0.839873
train_epoch=3, train_step=1440, overall_auc=0.903440, user_auc=0.897287, overall_logloss=0.158215, user_ndcg5=0.345856, user_hr5=0.512195, user_ndcg10=0.407901, user_hr10=0.704136, user_ndcg20=0.443462, user_hr20=0.845175
train_epoch=4, train_step=1920, overall_auc=0.903961, user_auc=0.897512, overall_logloss=0.161519, user_ndcg5=0.349510, user_hr5=0.515376, user_ndcg10=0.410442, user_hr10=0.702015, user_ndcg20=0.445625, user_hr20=0.839873
train_epoch=5, train_step=2400, overall_auc=0.904589, user_auc=0.897812, overall_logloss=0.166031, user_ndcg5=0.356841, user_hr5=0.535525, user_ndcg10=0.409108, user_hr10=0.695652, user_ndcg20=0.446448, user_hr20=0.840933
train_epoch=6, train_step=2880, overall_auc=0.904514, user_auc=0.897705, overall_logloss=0.166541, user_ndcg5=0.364002, user_hr5=0.544008, user_ndcg10=0.416867, user_hr10=0.706257, user_ndcg20=0.451470, user_hr20=0.841994
train_epoch=7, train_step=3360, overall_auc=0.902955, user_auc=0.895444, overall_logloss=0.167394, user_ndcg5=0.362581, user_hr5=0.534464, user_ndcg10=0.420426, user_hr10=0.712619, user_ndcg20=0.452027, user_hr20=0.836691
train_epoch=8, train_step=3840, overall_auc=0.901508, user_auc=0.894341, overall_logloss=0.168436, user_ndcg5=0.363388, user_hr5=0.533404, user_ndcg10=0.422379, user_hr10=0.715801, user_ndcg20=0.451656, user_hr20=0.830329
train_epoch=9, train_step=4320, overall_auc=0.901056, user_auc=0.894662, overall_logloss=0.170526, user_ndcg5=0.370469, user_hr5=0.540827, user_ndcg10=0.426013, user_hr10=0.713680, user_ndcg20=0.458036, user_hr20=0.839873
train_epoch=10, train_step=4800, overall_auc=0.900248, user_auc=0.894641, overall_logloss=0.172810, user_ndcg5=0.369932, user_hr5=0.532344, user_ndcg10=0.424495, user_hr10=0.700954, user_ndcg20=0.460899, user_hr20=0.844115
train_epoch=11, train_step=5280, overall_auc=0.900142, user_auc=0.894748, overall_logloss=0.173061, user_ndcg5=0.366110, user_hr5=0.522800, user_ndcg10=0.423652, user_hr10=0.700954, user_ndcg20=0.460376, user_hr20=0.845175
train_epoch=12, train_step=5760, overall_auc=0.899808, user_auc=0.894234, overall_logloss=0.172646, user_ndcg5=0.362573, user_hr5=0.522800, user_ndcg10=0.420113, user_hr10=0.700954, user_ndcg20=0.455775, user_hr20=0.840933
train_epoch=13, train_step=6240, overall_auc=0.898557, user_auc=0.892424, overall_logloss=0.184609, user_ndcg5=0.355593, user_hr5=0.510074, user_ndcg10=0.417260, user_hr10=0.698834, user_ndcg20=0.451041, user_hr20=0.831389
train_epoch=14, train_step=6720, overall_auc=0.896428, user_auc=0.890881, overall_logloss=0.191576, user_ndcg5=0.355165, user_hr5=0.513256, user_ndcg10=0.414693, user_hr10=0.695652, user_ndcg20=0.449119, user_hr20=0.830329
train_epoch=15, train_step=7200, overall_auc=0.895469, user_auc=0.890271, overall_logloss=0.198496, user_ndcg5=0.353375, user_hr5=0.517497, user_ndcg10=0.411199, user_hr10=0.693531, user_ndcg20=0.446985, user_hr20=0.833510
train_epoch=16, train_step=7680, overall_auc=0.893735, user_auc=0.888707, overall_logloss=0.202096, user_ndcg5=0.347841, user_hr5=0.514316, user_ndcg10=0.407444, user_hr10=0.697773, user_ndcg20=0.440859, user_hr20=0.828208
train_epoch=17, train_step=8160, overall_auc=0.890973, user_auc=0.885911, overall_logloss=0.204114, user_ndcg5=0.349835, user_hr5=0.516437, user_ndcg10=0.405576, user_hr10=0.688229, user_ndcg20=0.439516, user_hr20=0.820785
train_epoch=18, train_step=8640, overall_auc=0.889487, user_auc=0.884926, overall_logloss=0.213380, user_ndcg5=0.348808, user_hr5=0.513256, user_ndcg10=0.406551, user_hr10=0.692471, user_ndcg20=0.436038, user_hr20=0.808059
train_epoch=19, train_step=9120, overall_auc=0.888315, user_auc=0.884047, overall_logloss=0.227343, user_ndcg5=0.341776, user_hr5=0.505832, user_ndcg10=0.398089, user_hr10=0.679745, user_ndcg20=0.430354, user_hr20=0.805938
train_epoch=20, train_step=9600, overall_auc=0.886745, user_auc=0.882773, overall_logloss=0.236044, user_ndcg5=0.341254, user_hr5=0.500530, user_ndcg10=0.397568, user_hr10=0.674443, user_ndcg20=0.432285, user_hr20=0.811241
