train_epoch=1, train_step=480, overall_auc=0.874746, user_auc=0.867444, overall_logloss=0.179087, user_ndcg5=0.299157, user_hr5=0.439024, user_ndcg10=0.355896, user_hr10=0.616119, user_ndcg20=0.397320, user_hr20=0.779427
train_epoch=2, train_step=960, overall_auc=0.897917, user_auc=0.891460, overall_logloss=0.160942, user_ndcg5=0.322999, user_hr5=0.475080, user_ndcg10=0.388162, user_hr10=0.675504, user_ndcg20=0.427713, user_hr20=0.832450
train_epoch=3, train_step=1440, overall_auc=0.901581, user_auc=0.894641, overall_logloss=0.157648, user_ndcg5=0.339336, user_hr5=0.497349, user_ndcg10=0.401356, user_hr10=0.688229, user_ndcg20=0.440886, user_hr20=0.845175
train_epoch=4, train_step=1920, overall_auc=0.901997, user_auc=0.894759, overall_logloss=0.159189, user_ndcg5=0.348745, user_hr5=0.511135, user_ndcg10=0.410279, user_hr10=0.700954, user_ndcg20=0.445060, user_hr20=0.837752
train_epoch=5, train_step=2400, overall_auc=0.902150, user_auc=0.894105, overall_logloss=0.160813, user_ndcg5=0.356831, user_hr5=0.516437, user_ndcg10=0.415646, user_hr10=0.696713, user_ndcg20=0.452642, user_hr20=0.841994
train_epoch=6, train_step=2880, overall_auc=0.902327, user_auc=0.894330, overall_logloss=0.164456, user_ndcg5=0.363948, user_hr5=0.528102, user_ndcg10=0.421780, user_hr10=0.707317, user_ndcg20=0.454721, user_hr20=0.836691
train_epoch=7, train_step=3360, overall_auc=0.902066, user_auc=0.893431, overall_logloss=0.171513, user_ndcg5=0.358401, user_hr5=0.516437, user_ndcg10=0.421215, user_hr10=0.709438, user_ndcg20=0.454305, user_hr20=0.839873
train_epoch=8, train_step=3840, overall_auc=0.900441, user_auc=0.892167, overall_logloss=0.175778, user_ndcg5=0.359171, user_hr5=0.521739, user_ndcg10=0.417804, user_hr10=0.702015, user_ndcg20=0.449938, user_hr20=0.827147
train_epoch=9, train_step=4320, overall_auc=0.898278, user_auc=0.890528, overall_logloss=0.178618, user_ndcg5=0.354845, user_hr5=0.519618, user_ndcg10=0.411859, user_hr10=0.695652, user_ndcg20=0.445779, user_hr20=0.828208
train_epoch=10, train_step=4800, overall_auc=0.897127, user_auc=0.889906, overall_logloss=0.179304, user_ndcg5=0.354395, user_hr5=0.518558, user_ndcg10=0.409073, user_hr10=0.689290, user_ndcg20=0.443754, user_hr20=0.825027
train_epoch=11, train_step=5280, overall_auc=0.896034, user_auc=0.888043, overall_logloss=0.185827, user_ndcg5=0.344643, user_hr5=0.497349, user_ndcg10=0.407280, user_hr10=0.691410, user_ndcg20=0.440055, user_hr20=0.820785
train_epoch=12, train_step=5760, overall_auc=0.896236, user_auc=0.889232, overall_logloss=0.198286, user_ndcg5=0.342452, user_hr5=0.492047, user_ndcg10=0.408782, user_hr10=0.697773, user_ndcg20=0.439433, user_hr20=0.818664
train_epoch=13, train_step=6240, overall_auc=0.894845, user_auc=0.887571, overall_logloss=0.204979, user_ndcg5=0.339440, user_hr5=0.490986, user_ndcg10=0.403497, user_hr10=0.689290, user_ndcg20=0.437536, user_hr20=0.822906
train_epoch=14, train_step=6720, overall_auc=0.896113, user_auc=0.888846, overall_logloss=0.207080, user_ndcg5=0.348889, user_hr5=0.503712, user_ndcg10=0.411069, user_hr10=0.695652, user_ndcg20=0.444428, user_hr20=0.826087
train_epoch=15, train_step=7200, overall_auc=0.895480, user_auc=0.887614, overall_logloss=0.203535, user_ndcg5=0.350169, user_hr5=0.503712, user_ndcg10=0.409777, user_hr10=0.688229, user_ndcg20=0.443101, user_hr20=0.817603
train_epoch=16, train_step=7680, overall_auc=0.895748, user_auc=0.888535, overall_logloss=0.206093, user_ndcg5=0.355345, user_hr5=0.507953, user_ndcg10=0.415548, user_hr10=0.694592, user_ndcg20=0.449223, user_hr20=0.826087
train_epoch=17, train_step=8160, overall_auc=0.896207, user_auc=0.889682, overall_logloss=0.207443, user_ndcg5=0.359273, user_hr5=0.514316, user_ndcg10=0.416634, user_hr10=0.691410, user_ndcg20=0.451089, user_hr20=0.826087
train_epoch=18, train_step=8640, overall_auc=0.894637, user_auc=0.888353, overall_logloss=0.209120, user_ndcg5=0.356615, user_hr5=0.510074, user_ndcg10=0.417631, user_hr10=0.698834, user_ndcg20=0.450237, user_hr20=0.827147
train_epoch=19, train_step=9120, overall_auc=0.893621, user_auc=0.888610, overall_logloss=0.204457, user_ndcg5=0.358470, user_hr5=0.512195, user_ndcg10=0.417077, user_hr10=0.692471, user_ndcg20=0.451278, user_hr20=0.827147
train_epoch=20, train_step=9600, overall_auc=0.892858, user_auc=0.887753, overall_logloss=0.208598, user_ndcg5=0.358068, user_hr5=0.522800, user_ndcg10=0.411176, user_hr10=0.686108, user_ndcg20=0.447003, user_hr20=0.827147
