train_epoch=1, train_step=4825, overall_auc=0.922435, user_auc=0.917730, overall_logloss=0.128778, user_ndcg5=0.469168, user_hr5=0.635762, user_ndcg10=0.512294, user_hr10=0.768543, user_ndcg20=0.537926, user_hr20=0.869371
train_epoch=2, train_step=9650, overall_auc=0.927060, user_auc=0.921587, overall_logloss=0.129302, user_ndcg5=0.493552, user_hr5=0.659768, user_ndcg10=0.532477, user_hr10=0.779305, user_ndcg20=0.556536, user_hr20=0.874172
train_epoch=3, train_step=14475, overall_auc=0.927954, user_auc=0.921894, overall_logloss=0.129421, user_ndcg5=0.496497, user_hr5=0.660430, user_ndcg10=0.536980, user_hr10=0.784934, user_ndcg20=0.559644, user_hr20=0.874669
train_epoch=4, train_step=19300, overall_auc=0.928945, user_auc=0.922573, overall_logloss=0.129262, user_ndcg5=0.505792, user_hr5=0.665563, user_ndcg10=0.544586, user_hr10=0.784437, user_ndcg20=0.567475, user_hr20=0.874503
train_epoch=5, train_step=24125, overall_auc=0.929610, user_auc=0.922966, overall_logloss=0.128111, user_ndcg5=0.509413, user_hr5=0.672020, user_ndcg10=0.545839, user_hr10=0.783940, user_ndcg20=0.569104, user_hr20=0.875166
train_epoch=6, train_step=28950, overall_auc=0.930138, user_auc=0.923167, overall_logloss=0.127769, user_ndcg5=0.511934, user_hr5=0.673179, user_ndcg10=0.547973, user_hr10=0.783940, user_ndcg20=0.571404, user_hr20=0.875828
train_epoch=7, train_step=33775, overall_auc=0.930571, user_auc=0.923522, overall_logloss=0.127847, user_ndcg5=0.513502, user_hr5=0.675497, user_ndcg10=0.548989, user_hr10=0.784603, user_ndcg20=0.572612, user_hr20=0.877318
train_epoch=8, train_step=38600, overall_auc=0.930959, user_auc=0.923788, overall_logloss=0.127995, user_ndcg5=0.514607, user_hr5=0.675662, user_ndcg10=0.550260, user_hr10=0.784934, user_ndcg20=0.573682, user_hr20=0.876490
train_epoch=9, train_step=43425, overall_auc=0.931174, user_auc=0.924147, overall_logloss=0.129085, user_ndcg5=0.515888, user_hr5=0.675828, user_ndcg10=0.552561, user_hr10=0.788245, user_ndcg20=0.575835, user_hr20=0.879470
train_epoch=10, train_step=48250, overall_auc=0.931286, user_auc=0.924385, overall_logloss=0.129504, user_ndcg5=0.516845, user_hr5=0.677152, user_ndcg10=0.553918, user_hr10=0.790728, user_ndcg20=0.576886, user_hr20=0.880960
train_epoch=11, train_step=53075, overall_auc=0.931287, user_auc=0.924477, overall_logloss=0.129381, user_ndcg5=0.518421, user_hr5=0.680132, user_ndcg10=0.555164, user_hr10=0.792881, user_ndcg20=0.577337, user_hr20=0.880132
train_epoch=12, train_step=57900, overall_auc=0.931281, user_auc=0.924456, overall_logloss=0.129177, user_ndcg5=0.519291, user_hr5=0.680298, user_ndcg10=0.556224, user_hr10=0.793543, user_ndcg20=0.578202, user_hr20=0.880298
train_epoch=13, train_step=62725, overall_auc=0.931233, user_auc=0.924333, overall_logloss=0.129505, user_ndcg5=0.518289, user_hr5=0.679305, user_ndcg10=0.555123, user_hr10=0.792053, user_ndcg20=0.577342, user_hr20=0.879636
train_epoch=14, train_step=67550, overall_auc=0.931175, user_auc=0.924124, overall_logloss=0.129704, user_ndcg5=0.517914, user_hr5=0.680298, user_ndcg10=0.553941, user_hr10=0.790894, user_ndcg20=0.576424, user_hr20=0.879470
train_epoch=15, train_step=72375, overall_auc=0.931089, user_auc=0.924229, overall_logloss=0.130137, user_ndcg5=0.518952, user_hr5=0.681126, user_ndcg10=0.554473, user_hr10=0.790397, user_ndcg20=0.577079, user_hr20=0.879470
train_epoch=16, train_step=77200, overall_auc=0.931053, user_auc=0.924068, overall_logloss=0.130641, user_ndcg5=0.518591, user_hr5=0.680960, user_ndcg10=0.553914, user_hr10=0.789570, user_ndcg20=0.576554, user_hr20=0.878808
train_epoch=17, train_step=82025, overall_auc=0.931040, user_auc=0.923834, overall_logloss=0.130991, user_ndcg5=0.516439, user_hr5=0.676325, user_ndcg10=0.552950, user_hr10=0.787748, user_ndcg20=0.575953, user_hr20=0.878146
train_epoch=18, train_step=86850, overall_auc=0.930924, user_auc=0.923754, overall_logloss=0.131545, user_ndcg5=0.516297, user_hr5=0.676656, user_ndcg10=0.552860, user_hr10=0.788576, user_ndcg20=0.575462, user_hr20=0.877483
train_epoch=19, train_step=91675, overall_auc=0.930950, user_auc=0.923655, overall_logloss=0.132009, user_ndcg5=0.517412, user_hr5=0.677980, user_ndcg10=0.553731, user_hr10=0.789238, user_ndcg20=0.576096, user_hr20=0.877152
train_epoch=20, train_step=96500, overall_auc=0.930872, user_auc=0.923492, overall_logloss=0.132074, user_ndcg5=0.517226, user_hr5=0.677318, user_ndcg10=0.553738, user_hr10=0.789238, user_ndcg20=0.576202, user_hr20=0.877649
