train_epoch=1, train_step=4825, overall_auc=0.923005, user_auc=0.918076, overall_logloss=0.128416, user_ndcg5=0.471734, user_hr5=0.636258, user_ndcg10=0.514330, user_hr10=0.767219, user_ndcg20=0.540015, user_hr20=0.868377
train_epoch=2, train_step=9650, overall_auc=0.927132, user_auc=0.921647, overall_logloss=0.129180, user_ndcg5=0.492373, user_hr5=0.658444, user_ndcg10=0.531619, user_hr10=0.778808, user_ndcg20=0.556509, user_hr20=0.876821
train_epoch=3, train_step=14475, overall_auc=0.929058, user_auc=0.923403, overall_logloss=0.127440, user_ndcg5=0.502748, user_hr5=0.668543, user_ndcg10=0.541225, user_hr10=0.786921, user_ndcg20=0.564473, user_hr20=0.878808
train_epoch=4, train_step=19300, overall_auc=0.930035, user_auc=0.923936, overall_logloss=0.125658, user_ndcg5=0.510104, user_hr5=0.673179, user_ndcg10=0.547190, user_hr10=0.786921, user_ndcg20=0.570214, user_hr20=0.877649
train_epoch=5, train_step=24125, overall_auc=0.930848, user_auc=0.924657, overall_logloss=0.124042, user_ndcg5=0.512432, user_hr5=0.676159, user_ndcg10=0.549261, user_hr10=0.789735, user_ndcg20=0.572132, user_hr20=0.879636
train_epoch=6, train_step=28950, overall_auc=0.931518, user_auc=0.925239, overall_logloss=0.123685, user_ndcg5=0.513218, user_hr5=0.674669, user_ndcg10=0.551605, user_hr10=0.792715, user_ndcg20=0.573918, user_hr20=0.880464
train_epoch=7, train_step=33775, overall_auc=0.931682, user_auc=0.925291, overall_logloss=0.124192, user_ndcg5=0.514141, user_hr5=0.676821, user_ndcg10=0.551865, user_hr10=0.792715, user_ndcg20=0.574578, user_hr20=0.882285
train_epoch=8, train_step=38600, overall_auc=0.931766, user_auc=0.925478, overall_logloss=0.124900, user_ndcg5=0.515977, user_hr5=0.676159, user_ndcg10=0.554370, user_hr10=0.794040, user_ndcg20=0.576486, user_hr20=0.881126
train_epoch=9, train_step=43425, overall_auc=0.931809, user_auc=0.925396, overall_logloss=0.126039, user_ndcg5=0.516427, user_hr5=0.675497, user_ndcg10=0.554622, user_hr10=0.793046, user_ndcg20=0.576947, user_hr20=0.880960
train_epoch=10, train_step=48250, overall_auc=0.931694, user_auc=0.925269, overall_logloss=0.126901, user_ndcg5=0.516014, user_hr5=0.675662, user_ndcg10=0.553636, user_hr10=0.791225, user_ndcg20=0.576629, user_hr20=0.881623
train_epoch=11, train_step=53075, overall_auc=0.931622, user_auc=0.924982, overall_logloss=0.127253, user_ndcg5=0.514377, user_hr5=0.674338, user_ndcg10=0.552200, user_hr10=0.790232, user_ndcg20=0.575155, user_hr20=0.880298
train_epoch=12, train_step=57900, overall_auc=0.931478, user_auc=0.924903, overall_logloss=0.127560, user_ndcg5=0.514851, user_hr5=0.674503, user_ndcg10=0.552700, user_hr10=0.790232, user_ndcg20=0.575345, user_hr20=0.879139
train_epoch=13, train_step=62725, overall_auc=0.931282, user_auc=0.924558, overall_logloss=0.128097, user_ndcg5=0.515461, user_hr5=0.675662, user_ndcg10=0.552682, user_hr10=0.789570, user_ndcg20=0.575428, user_hr20=0.878808
train_epoch=14, train_step=67550, overall_auc=0.931138, user_auc=0.924410, overall_logloss=0.128789, user_ndcg5=0.517432, user_hr5=0.676821, user_ndcg10=0.553982, user_hr10=0.788742, user_ndcg20=0.576913, user_hr20=0.878642
train_epoch=15, train_step=72375, overall_auc=0.931010, user_auc=0.924104, overall_logloss=0.129655, user_ndcg5=0.518136, user_hr5=0.677483, user_ndcg10=0.554562, user_hr10=0.789073, user_ndcg20=0.577346, user_hr20=0.878311
train_epoch=16, train_step=77200, overall_auc=0.930883, user_auc=0.923843, overall_logloss=0.129336, user_ndcg5=0.518506, user_hr5=0.678146, user_ndcg10=0.554285, user_hr10=0.788079, user_ndcg20=0.577268, user_hr20=0.878311
train_epoch=17, train_step=82025, overall_auc=0.930670, user_auc=0.923617, overall_logloss=0.129124, user_ndcg5=0.517684, user_hr5=0.677815, user_ndcg10=0.553126, user_hr10=0.786755, user_ndcg20=0.576418, user_hr20=0.878146
train_epoch=18, train_step=86850, overall_auc=0.930541, user_auc=0.923525, overall_logloss=0.129303, user_ndcg5=0.517564, user_hr5=0.678146, user_ndcg10=0.552545, user_hr10=0.785596, user_ndcg20=0.576114, user_hr20=0.877980
train_epoch=19, train_step=91675, overall_auc=0.930269, user_auc=0.923174, overall_logloss=0.129776, user_ndcg5=0.516403, user_hr5=0.677483, user_ndcg10=0.551886, user_hr10=0.786755, user_ndcg20=0.575201, user_hr20=0.878642
train_epoch=20, train_step=96500, overall_auc=0.930165, user_auc=0.923231, overall_logloss=0.130403, user_ndcg5=0.516621, user_hr5=0.677318, user_ndcg10=0.551990, user_hr10=0.786093, user_ndcg20=0.575694, user_hr20=0.879636
