train_epoch=1, train_step=4825, overall_auc=0.923440, user_auc=0.918541, overall_logloss=0.128921, user_ndcg5=0.473515, user_hr5=0.640066, user_ndcg10=0.514891, user_hr10=0.767550, user_ndcg20=0.540861, user_hr20=0.870033
train_epoch=2, train_step=9650, overall_auc=0.927892, user_auc=0.922264, overall_logloss=0.130542, user_ndcg5=0.490255, user_hr5=0.658444, user_ndcg10=0.529413, user_hr10=0.778808, user_ndcg20=0.554299, user_hr20=0.876656
train_epoch=3, train_step=14475, overall_auc=0.929792, user_auc=0.923945, overall_logloss=0.129291, user_ndcg5=0.502036, user_hr5=0.670033, user_ndcg10=0.540299, user_hr10=0.787583, user_ndcg20=0.563984, user_hr20=0.881126
train_epoch=4, train_step=19300, overall_auc=0.930315, user_auc=0.924135, overall_logloss=0.129189, user_ndcg5=0.506786, user_hr5=0.673675, user_ndcg10=0.543001, user_hr10=0.784437, user_ndcg20=0.567696, user_hr20=0.881291
train_epoch=5, train_step=24125, overall_auc=0.930721, user_auc=0.923928, overall_logloss=0.129169, user_ndcg5=0.506597, user_hr5=0.672517, user_ndcg10=0.543852, user_hr10=0.786755, user_ndcg20=0.567937, user_hr20=0.881457
train_epoch=6, train_step=28950, overall_auc=0.931055, user_auc=0.924003, overall_logloss=0.129317, user_ndcg5=0.507642, user_hr5=0.674172, user_ndcg10=0.544969, user_hr10=0.788576, user_ndcg20=0.568270, user_hr20=0.880132
train_epoch=7, train_step=33775, overall_auc=0.931333, user_auc=0.924339, overall_logloss=0.129948, user_ndcg5=0.510287, user_hr5=0.676325, user_ndcg10=0.547245, user_hr10=0.789570, user_ndcg20=0.570658, user_hr20=0.881788
train_epoch=8, train_step=38600, overall_auc=0.931397, user_auc=0.924336, overall_logloss=0.130873, user_ndcg5=0.512110, user_hr5=0.678311, user_ndcg10=0.548003, user_hr10=0.788576, user_ndcg20=0.572177, user_hr20=0.883609
train_epoch=9, train_step=43425, overall_auc=0.931435, user_auc=0.924458, overall_logloss=0.130793, user_ndcg5=0.513886, user_hr5=0.679139, user_ndcg10=0.550208, user_hr10=0.790728, user_ndcg20=0.573588, user_hr20=0.882781
train_epoch=10, train_step=48250, overall_auc=0.931477, user_auc=0.924553, overall_logloss=0.130606, user_ndcg5=0.513591, user_hr5=0.676159, user_ndcg10=0.551016, user_hr10=0.790728, user_ndcg20=0.574436, user_hr20=0.883113
train_epoch=11, train_step=53075, overall_auc=0.931367, user_auc=0.924396, overall_logloss=0.130203, user_ndcg5=0.515448, user_hr5=0.679967, user_ndcg10=0.551093, user_hr10=0.789238, user_ndcg20=0.574752, user_hr20=0.882781
train_epoch=12, train_step=57900, overall_auc=0.931281, user_auc=0.924344, overall_logloss=0.129614, user_ndcg5=0.516363, user_hr5=0.679305, user_ndcg10=0.552066, user_hr10=0.789570, user_ndcg20=0.575751, user_hr20=0.883444
train_epoch=13, train_step=62725, overall_auc=0.931130, user_auc=0.924201, overall_logloss=0.129407, user_ndcg5=0.515572, user_hr5=0.678808, user_ndcg10=0.551356, user_hr10=0.788907, user_ndcg20=0.574817, user_hr20=0.881457
train_epoch=14, train_step=67550, overall_auc=0.931029, user_auc=0.923890, overall_logloss=0.129867, user_ndcg5=0.515631, user_hr5=0.677152, user_ndcg10=0.551310, user_hr10=0.786589, user_ndcg20=0.575240, user_hr20=0.880795
train_epoch=15, train_step=72375, overall_auc=0.930909, user_auc=0.923771, overall_logloss=0.131082, user_ndcg5=0.513478, user_hr5=0.674338, user_ndcg10=0.550319, user_hr10=0.787252, user_ndcg20=0.574472, user_hr20=0.882616
train_epoch=16, train_step=77200, overall_auc=0.930868, user_auc=0.923793, overall_logloss=0.132152, user_ndcg5=0.513748, user_hr5=0.674669, user_ndcg10=0.550737, user_hr10=0.788079, user_ndcg20=0.574597, user_hr20=0.882285
train_epoch=17, train_step=82025, overall_auc=0.930906, user_auc=0.923841, overall_logloss=0.132737, user_ndcg5=0.512720, user_hr5=0.673675, user_ndcg10=0.550395, user_hr10=0.789238, user_ndcg20=0.573577, user_hr20=0.880629
train_epoch=18, train_step=86850, overall_auc=0.930840, user_auc=0.923696, overall_logloss=0.132653, user_ndcg5=0.512702, user_hr5=0.672848, user_ndcg10=0.551035, user_hr10=0.790728, user_ndcg20=0.573554, user_hr20=0.879636
train_epoch=19, train_step=91675, overall_auc=0.930731, user_auc=0.923659, overall_logloss=0.132447, user_ndcg5=0.512892, user_hr5=0.673841, user_ndcg10=0.550603, user_hr10=0.789735, user_ndcg20=0.573406, user_hr20=0.879636
train_epoch=20, train_step=96500, overall_auc=0.930700, user_auc=0.923604, overall_logloss=0.132754, user_ndcg5=0.511677, user_hr5=0.672020, user_ndcg10=0.549949, user_hr10=0.789570, user_ndcg20=0.572912, user_hr20=0.880298
