train_epoch=1, train_step=4825, overall_auc=0.922989, user_auc=0.917849, overall_logloss=0.127224, user_ndcg5=0.469848, user_hr5=0.634106, user_ndcg10=0.513574, user_hr10=0.768709, user_ndcg20=0.538457, user_hr20=0.866722
train_epoch=2, train_step=9650, overall_auc=0.927447, user_auc=0.921731, overall_logloss=0.128408, user_ndcg5=0.492523, user_hr5=0.660927, user_ndcg10=0.531469, user_hr10=0.780960, user_ndcg20=0.555563, user_hr20=0.875993
train_epoch=3, train_step=14475, overall_auc=0.929075, user_auc=0.922926, overall_logloss=0.126571, user_ndcg5=0.501639, user_hr5=0.666887, user_ndcg10=0.539506, user_hr10=0.783113, user_ndcg20=0.563042, user_hr20=0.875662
train_epoch=4, train_step=19300, overall_auc=0.929998, user_auc=0.923503, overall_logloss=0.123987, user_ndcg5=0.507314, user_hr5=0.672517, user_ndcg10=0.543467, user_hr10=0.783775, user_ndcg20=0.567585, user_hr20=0.878808
train_epoch=5, train_step=24125, overall_auc=0.930348, user_auc=0.923550, overall_logloss=0.123922, user_ndcg5=0.508536, user_hr5=0.669868, user_ndcg10=0.545525, user_hr10=0.782947, user_ndcg20=0.569454, user_hr20=0.877152
train_epoch=6, train_step=28950, overall_auc=0.930507, user_auc=0.923604, overall_logloss=0.125020, user_ndcg5=0.510117, user_hr5=0.670364, user_ndcg10=0.548266, user_hr10=0.787086, user_ndcg20=0.571078, user_hr20=0.877152
train_epoch=7, train_step=33775, overall_auc=0.930502, user_auc=0.923553, overall_logloss=0.125269, user_ndcg5=0.512484, user_hr5=0.673510, user_ndcg10=0.549997, user_hr10=0.788245, user_ndcg20=0.572568, user_hr20=0.877483
train_epoch=8, train_step=38600, overall_auc=0.930454, user_auc=0.923575, overall_logloss=0.126026, user_ndcg5=0.513841, user_hr5=0.675000, user_ndcg10=0.551348, user_hr10=0.789735, user_ndcg20=0.573610, user_hr20=0.877649
train_epoch=9, train_step=43425, overall_auc=0.930441, user_auc=0.923515, overall_logloss=0.126869, user_ndcg5=0.513357, user_hr5=0.674834, user_ndcg10=0.550221, user_hr10=0.787583, user_ndcg20=0.573188, user_hr20=0.877980
train_epoch=10, train_step=48250, overall_auc=0.930286, user_auc=0.923237, overall_logloss=0.127566, user_ndcg5=0.512331, user_hr5=0.673179, user_ndcg10=0.548930, user_hr10=0.784934, user_ndcg20=0.572573, user_hr20=0.877815
train_epoch=11, train_step=53075, overall_auc=0.930193, user_auc=0.923070, overall_logloss=0.128594, user_ndcg5=0.513445, user_hr5=0.674338, user_ndcg10=0.549610, user_hr10=0.785099, user_ndcg20=0.573044, user_hr20=0.877483
train_epoch=12, train_step=57900, overall_auc=0.930153, user_auc=0.923109, overall_logloss=0.129288, user_ndcg5=0.514566, user_hr5=0.676490, user_ndcg10=0.550368, user_hr10=0.786589, user_ndcg20=0.573227, user_hr20=0.876821
train_epoch=13, train_step=62725, overall_auc=0.930096, user_auc=0.923042, overall_logloss=0.129974, user_ndcg5=0.513904, user_hr5=0.674669, user_ndcg10=0.550078, user_hr10=0.785927, user_ndcg20=0.573692, user_hr20=0.879139
train_epoch=14, train_step=67550, overall_auc=0.930013, user_auc=0.922921, overall_logloss=0.130539, user_ndcg5=0.513226, user_hr5=0.674172, user_ndcg10=0.549665, user_hr10=0.786093, user_ndcg20=0.573087, user_hr20=0.878477
train_epoch=15, train_step=72375, overall_auc=0.930107, user_auc=0.922940, overall_logloss=0.130785, user_ndcg5=0.512242, user_hr5=0.672185, user_ndcg10=0.549378, user_hr10=0.786258, user_ndcg20=0.573008, user_hr20=0.879636
train_epoch=16, train_step=77200, overall_auc=0.930351, user_auc=0.923005, overall_logloss=0.131173, user_ndcg5=0.511570, user_hr5=0.670530, user_ndcg10=0.549371, user_hr10=0.786589, user_ndcg20=0.572869, user_hr20=0.879470
train_epoch=17, train_step=82025, overall_auc=0.930498, user_auc=0.923244, overall_logloss=0.131330, user_ndcg5=0.512934, user_hr5=0.673013, user_ndcg10=0.549562, user_hr10=0.785762, user_ndcg20=0.573300, user_hr20=0.879305
train_epoch=18, train_step=86850, overall_auc=0.930542, user_auc=0.923259, overall_logloss=0.131146, user_ndcg5=0.511713, user_hr5=0.670530, user_ndcg10=0.549170, user_hr10=0.785762, user_ndcg20=0.572644, user_hr20=0.878146
train_epoch=19, train_step=91675, overall_auc=0.930519, user_auc=0.923293, overall_logloss=0.131406, user_ndcg5=0.511385, user_hr5=0.669868, user_ndcg10=0.548991, user_hr10=0.785430, user_ndcg20=0.572839, user_hr20=0.879470
train_epoch=20, train_step=96500, overall_auc=0.930596, user_auc=0.923221, overall_logloss=0.131221, user_ndcg5=0.510706, user_hr5=0.670364, user_ndcg10=0.547294, user_hr10=0.782616, user_ndcg20=0.571776, user_hr20=0.878808
