train_epoch=1, train_step=4825, overall_auc=0.893262, user_auc=0.886964, overall_logloss=0.149970, user_ndcg5=0.351096, user_hr5=0.506457, user_ndcg10=0.400159, user_hr10=0.658113, user_ndcg20=0.437826, user_hr20=0.807119
train_epoch=2, train_step=9650, overall_auc=0.913467, user_auc=0.907445, overall_logloss=0.141120, user_ndcg5=0.417236, user_hr5=0.583278, user_ndcg10=0.464914, user_hr10=0.730464, user_ndcg20=0.494955, user_hr20=0.849172
train_epoch=3, train_step=14475, overall_auc=0.922091, user_auc=0.916242, overall_logloss=0.138186, user_ndcg5=0.460228, user_hr5=0.627152, user_ndcg10=0.502339, user_hr10=0.756788, user_ndcg20=0.529064, user_hr20=0.862086
train_epoch=4, train_step=19300, overall_auc=0.926864, user_auc=0.921077, overall_logloss=0.132962, user_ndcg5=0.487620, user_hr5=0.654801, user_ndcg10=0.525239, user_hr10=0.770695, user_ndcg20=0.551121, user_hr20=0.872517
train_epoch=5, train_step=24125, overall_auc=0.930557, user_auc=0.924015, overall_logloss=0.129002, user_ndcg5=0.506058, user_hr5=0.671358, user_ndcg10=0.541874, user_hr10=0.781788, user_ndcg20=0.566550, user_hr20=0.878477
train_epoch=6, train_step=28950, overall_auc=0.933228, user_auc=0.926420, overall_logloss=0.126208, user_ndcg5=0.522043, user_hr5=0.686258, user_ndcg10=0.556591, user_hr10=0.793212, user_ndcg20=0.579347, user_hr20=0.882285
train_epoch=7, train_step=33775, overall_auc=0.934814, user_auc=0.927726, overall_logloss=0.125240, user_ndcg5=0.529530, user_hr5=0.693046, user_ndcg10=0.563380, user_hr10=0.797517, user_ndcg20=0.585370, user_hr20=0.883444
train_epoch=8, train_step=38600, overall_auc=0.935853, user_auc=0.928746, overall_logloss=0.124698, user_ndcg5=0.534663, user_hr5=0.695199, user_ndcg10=0.569742, user_hr10=0.802980, user_ndcg20=0.590316, user_hr20=0.883609
train_epoch=9, train_step=43425, overall_auc=0.936649, user_auc=0.929586, overall_logloss=0.124361, user_ndcg5=0.539848, user_hr5=0.699338, user_ndcg10=0.574612, user_hr10=0.806126, user_ndcg20=0.595234, user_hr20=0.887252
train_epoch=10, train_step=48250, overall_auc=0.937247, user_auc=0.929841, overall_logloss=0.124328, user_ndcg5=0.541618, user_hr5=0.699338, user_ndcg10=0.576734, user_hr10=0.807119, user_ndcg20=0.596914, user_hr20=0.886424
train_epoch=11, train_step=53075, overall_auc=0.937667, user_auc=0.930091, overall_logloss=0.124504, user_ndcg5=0.544288, user_hr5=0.701821, user_ndcg10=0.578736, user_hr10=0.807285, user_ndcg20=0.598886, user_hr20=0.886424
train_epoch=12, train_step=57900, overall_auc=0.937974, user_auc=0.930330, overall_logloss=0.124679, user_ndcg5=0.546777, user_hr5=0.703311, user_ndcg10=0.581493, user_hr10=0.809768, user_ndcg20=0.601122, user_hr20=0.887086
train_epoch=13, train_step=62725, overall_auc=0.938220, user_auc=0.930497, overall_logloss=0.124713, user_ndcg5=0.548906, user_hr5=0.704967, user_ndcg10=0.583901, user_hr10=0.812583, user_ndcg20=0.602917, user_hr20=0.887748
train_epoch=14, train_step=67550, overall_auc=0.938428, user_auc=0.930813, overall_logloss=0.124565, user_ndcg5=0.550924, user_hr5=0.707947, user_ndcg10=0.585310, user_hr10=0.813742, user_ndcg20=0.604277, user_hr20=0.888742
train_epoch=15, train_step=72375, overall_auc=0.938609, user_auc=0.931079, overall_logloss=0.124275, user_ndcg5=0.552126, user_hr5=0.706126, user_ndcg10=0.587150, user_hr10=0.813411, user_ndcg20=0.606212, user_hr20=0.888742
train_epoch=16, train_step=77200, overall_auc=0.938753, user_auc=0.931211, overall_logloss=0.123991, user_ndcg5=0.552183, user_hr5=0.705960, user_ndcg10=0.587394, user_hr10=0.813742, user_ndcg20=0.606782, user_hr20=0.890397
train_epoch=17, train_step=82025, overall_auc=0.938851, user_auc=0.931166, overall_logloss=0.123886, user_ndcg5=0.552090, user_hr5=0.705298, user_ndcg10=0.587544, user_hr10=0.814073, user_ndcg20=0.606846, user_hr20=0.890397
train_epoch=18, train_step=86850, overall_auc=0.938896, user_auc=0.931144, overall_logloss=0.124088, user_ndcg5=0.553033, user_hr5=0.707947, user_ndcg10=0.587558, user_hr10=0.814073, user_ndcg20=0.606867, user_hr20=0.890397
train_epoch=19, train_step=91675, overall_auc=0.938900, user_auc=0.931288, overall_logloss=0.124521, user_ndcg5=0.554683, user_hr5=0.709603, user_ndcg10=0.588421, user_hr10=0.813079, user_ndcg20=0.607980, user_hr20=0.890232
train_epoch=20, train_step=96500, overall_auc=0.938881, user_auc=0.931241, overall_logloss=0.125083, user_ndcg5=0.554968, user_hr5=0.710762, user_ndcg10=0.588419, user_hr10=0.813576, user_ndcg20=0.607866, user_hr20=0.890397
