train_epoch=1, train_step=4825, overall_auc=0.893360, user_auc=0.886971, overall_logloss=0.149046, user_ndcg5=0.351955, user_hr5=0.506954, user_ndcg10=0.400901, user_hr10=0.658444, user_ndcg20=0.438485, user_hr20=0.806788
train_epoch=2, train_step=9650, overall_auc=0.913816, user_auc=0.907868, overall_logloss=0.139837, user_ndcg5=0.418674, user_hr5=0.585430, user_ndcg10=0.465382, user_hr10=0.728974, user_ndcg20=0.495822, user_hr20=0.848841
train_epoch=3, train_step=14475, overall_auc=0.922116, user_auc=0.916401, overall_logloss=0.137146, user_ndcg5=0.460610, user_hr5=0.629801, user_ndcg10=0.502088, user_hr10=0.757285, user_ndcg20=0.529399, user_hr20=0.864901
train_epoch=4, train_step=19300, overall_auc=0.926676, user_auc=0.920483, overall_logloss=0.133428, user_ndcg5=0.487010, user_hr5=0.652980, user_ndcg10=0.523964, user_hr10=0.766887, user_ndcg20=0.550674, user_hr20=0.871523
train_epoch=5, train_step=24125, overall_auc=0.930353, user_auc=0.923834, overall_logloss=0.129526, user_ndcg5=0.504734, user_hr5=0.668543, user_ndcg10=0.541293, user_hr10=0.781126, user_ndcg20=0.565100, user_hr20=0.874503
train_epoch=6, train_step=28950, overall_auc=0.933041, user_auc=0.926002, overall_logloss=0.126865, user_ndcg5=0.516655, user_hr5=0.679305, user_ndcg10=0.552314, user_hr10=0.789404, user_ndcg20=0.575177, user_hr20=0.878974
train_epoch=7, train_step=33775, overall_auc=0.934859, user_auc=0.927928, overall_logloss=0.125368, user_ndcg5=0.525164, user_hr5=0.684106, user_ndcg10=0.562301, user_hr10=0.798510, user_ndcg20=0.584254, user_hr20=0.884603
train_epoch=8, train_step=38600, overall_auc=0.936016, user_auc=0.929049, overall_logloss=0.124278, user_ndcg5=0.533255, user_hr5=0.690728, user_ndcg10=0.569898, user_hr10=0.803808, user_ndcg20=0.591296, user_hr20=0.887914
train_epoch=9, train_step=43425, overall_auc=0.936758, user_auc=0.929858, overall_logloss=0.123534, user_ndcg5=0.539890, user_hr5=0.697848, user_ndcg10=0.575167, user_hr10=0.806623, user_ndcg20=0.596321, user_hr20=0.889735
train_epoch=10, train_step=48250, overall_auc=0.937316, user_auc=0.930273, overall_logloss=0.122847, user_ndcg5=0.544055, user_hr5=0.703477, user_ndcg10=0.577525, user_hr10=0.806623, user_ndcg20=0.598632, user_hr20=0.889404
train_epoch=11, train_step=53075, overall_auc=0.937766, user_auc=0.930659, overall_logloss=0.122230, user_ndcg5=0.546542, user_hr5=0.702152, user_ndcg10=0.581142, user_hr10=0.808444, user_ndcg20=0.602111, user_hr20=0.890894
train_epoch=12, train_step=57900, overall_auc=0.938135, user_auc=0.930796, overall_logloss=0.121693, user_ndcg5=0.547437, user_hr5=0.704801, user_ndcg10=0.581430, user_hr10=0.809437, user_ndcg20=0.602248, user_hr20=0.891391
train_epoch=13, train_step=62725, overall_auc=0.938412, user_auc=0.931094, overall_logloss=0.121412, user_ndcg5=0.550008, user_hr5=0.705795, user_ndcg10=0.583636, user_hr10=0.809272, user_ndcg20=0.604582, user_hr20=0.891556
train_epoch=14, train_step=67550, overall_auc=0.938619, user_auc=0.931333, overall_logloss=0.121291, user_ndcg5=0.553031, user_hr5=0.707616, user_ndcg10=0.586836, user_hr10=0.811589, user_ndcg20=0.607057, user_hr20=0.891225
train_epoch=15, train_step=72375, overall_auc=0.938788, user_auc=0.931551, overall_logloss=0.121286, user_ndcg5=0.553805, user_hr5=0.709106, user_ndcg10=0.587388, user_hr10=0.812252, user_ndcg20=0.607663, user_hr20=0.892053
train_epoch=16, train_step=77200, overall_auc=0.938934, user_auc=0.931514, overall_logloss=0.121354, user_ndcg5=0.552630, user_hr5=0.708609, user_ndcg10=0.586388, user_hr10=0.812086, user_ndcg20=0.606379, user_hr20=0.890563
train_epoch=17, train_step=82025, overall_auc=0.939067, user_auc=0.931703, overall_logloss=0.121460, user_ndcg5=0.554665, user_hr5=0.708940, user_ndcg10=0.588613, user_hr10=0.813079, user_ndcg20=0.608128, user_hr20=0.889570
train_epoch=18, train_step=86850, overall_auc=0.939182, user_auc=0.931805, overall_logloss=0.121607, user_ndcg5=0.556123, user_hr5=0.710430, user_ndcg10=0.589636, user_hr10=0.813245, user_ndcg20=0.609802, user_hr20=0.892384
train_epoch=19, train_step=91675, overall_auc=0.939276, user_auc=0.931887, overall_logloss=0.121767, user_ndcg5=0.555778, user_hr5=0.709437, user_ndcg10=0.589898, user_hr10=0.814073, user_ndcg20=0.609729, user_hr20=0.891887
train_epoch=20, train_step=96500, overall_auc=0.939328, user_auc=0.931890, overall_logloss=0.122015, user_ndcg5=0.554810, user_hr5=0.709272, user_ndcg10=0.589128, user_hr10=0.814570, user_ndcg20=0.608903, user_hr20=0.892219
