train_epoch=1, train_step=4825, overall_auc=0.893932, user_auc=0.887222, overall_logloss=0.148897, user_ndcg5=0.352357, user_hr5=0.508775, user_ndcg10=0.401343, user_hr10=0.660430, user_ndcg20=0.439551, user_hr20=0.811258
train_epoch=2, train_step=9650, overall_auc=0.915264, user_auc=0.908902, overall_logloss=0.139015, user_ndcg5=0.426844, user_hr5=0.596523, user_ndcg10=0.471173, user_hr10=0.732781, user_ndcg20=0.501390, user_hr20=0.852152
train_epoch=3, train_step=14475, overall_auc=0.922933, user_auc=0.917008, overall_logloss=0.138595, user_ndcg5=0.464152, user_hr5=0.629801, user_ndcg10=0.506554, user_hr10=0.759934, user_ndcg20=0.533251, user_hr20=0.865397
train_epoch=4, train_step=19300, overall_auc=0.927681, user_auc=0.921149, overall_logloss=0.135683, user_ndcg5=0.489570, user_hr5=0.652318, user_ndcg10=0.528015, user_hr10=0.770364, user_ndcg20=0.553599, user_hr20=0.871026
train_epoch=5, train_step=24125, overall_auc=0.930881, user_auc=0.924298, overall_logloss=0.130584, user_ndcg5=0.505620, user_hr5=0.668046, user_ndcg10=0.542431, user_hr10=0.781291, user_ndcg20=0.567184, user_hr20=0.878808
train_epoch=6, train_step=28950, overall_auc=0.932922, user_auc=0.926266, overall_logloss=0.128386, user_ndcg5=0.514295, user_hr5=0.678146, user_ndcg10=0.549959, user_hr10=0.787914, user_ndcg20=0.574060, user_hr20=0.882781
train_epoch=7, train_step=33775, overall_auc=0.934481, user_auc=0.927895, overall_logloss=0.126420, user_ndcg5=0.521570, user_hr5=0.682781, user_ndcg10=0.557817, user_hr10=0.794040, user_ndcg20=0.581710, user_hr20=0.887914
train_epoch=8, train_step=38600, overall_auc=0.935749, user_auc=0.928923, overall_logloss=0.124508, user_ndcg5=0.529524, user_hr5=0.691887, user_ndcg10=0.564112, user_hr10=0.798344, user_ndcg20=0.587638, user_hr20=0.891060
train_epoch=9, train_step=43425, overall_auc=0.936775, user_auc=0.929927, overall_logloss=0.123046, user_ndcg5=0.535383, user_hr5=0.695861, user_ndcg10=0.570356, user_hr10=0.803311, user_ndcg20=0.592660, user_hr20=0.891060
train_epoch=10, train_step=48250, overall_auc=0.937562, user_auc=0.930515, overall_logloss=0.122046, user_ndcg5=0.541237, user_hr5=0.699503, user_ndcg10=0.576372, user_hr10=0.807781, user_ndcg20=0.597368, user_hr20=0.890232
train_epoch=11, train_step=53075, overall_auc=0.938132, user_auc=0.930994, overall_logloss=0.121513, user_ndcg5=0.545532, user_hr5=0.704801, user_ndcg10=0.579754, user_hr10=0.810265, user_ndcg20=0.600445, user_hr20=0.891556
train_epoch=12, train_step=57900, overall_auc=0.938533, user_auc=0.931305, overall_logloss=0.121348, user_ndcg5=0.548913, user_hr5=0.709603, user_ndcg10=0.582146, user_hr10=0.812417, user_ndcg20=0.602577, user_hr20=0.892881
train_epoch=13, train_step=62725, overall_auc=0.938829, user_auc=0.931524, overall_logloss=0.121440, user_ndcg5=0.551281, user_hr5=0.710099, user_ndcg10=0.584391, user_hr10=0.812583, user_ndcg20=0.604860, user_hr20=0.893046
train_epoch=14, train_step=67550, overall_auc=0.939028, user_auc=0.931793, overall_logloss=0.121708, user_ndcg5=0.551972, user_hr5=0.711424, user_ndcg10=0.585272, user_hr10=0.814570, user_ndcg20=0.605569, user_hr20=0.894536
train_epoch=15, train_step=72375, overall_auc=0.939137, user_auc=0.931977, overall_logloss=0.122100, user_ndcg5=0.552589, user_hr5=0.712583, user_ndcg10=0.585634, user_hr10=0.814735, user_ndcg20=0.605731, user_hr20=0.893709
train_epoch=16, train_step=77200, overall_auc=0.939183, user_auc=0.931969, overall_logloss=0.122585, user_ndcg5=0.552803, user_hr5=0.711093, user_ndcg10=0.586289, user_hr10=0.814238, user_ndcg20=0.606117, user_hr20=0.891887
train_epoch=17, train_step=82025, overall_auc=0.939187, user_auc=0.931865, overall_logloss=0.123124, user_ndcg5=0.552596, user_hr5=0.712252, user_ndcg10=0.586063, user_hr10=0.815397, user_ndcg20=0.605765, user_hr20=0.892881
train_epoch=18, train_step=86850, overall_auc=0.939166, user_auc=0.931937, overall_logloss=0.123666, user_ndcg5=0.553477, user_hr5=0.712086, user_ndcg10=0.587564, user_hr10=0.817053, user_ndcg20=0.606919, user_hr20=0.893377
train_epoch=19, train_step=91675, overall_auc=0.939125, user_auc=0.931758, overall_logloss=0.124142, user_ndcg5=0.553383, user_hr5=0.712086, user_ndcg10=0.586968, user_hr10=0.815397, user_ndcg20=0.606474, user_hr20=0.892219
train_epoch=20, train_step=96500, overall_auc=0.939069, user_auc=0.931776, overall_logloss=0.124500, user_ndcg5=0.554987, user_hr5=0.713576, user_ndcg10=0.587931, user_hr10=0.814901, user_ndcg20=0.607345, user_hr20=0.891225
