train_epoch=1, train_step=4825, overall_auc=0.893633, user_auc=0.887086, overall_logloss=0.149185, user_ndcg5=0.352582, user_hr5=0.510265, user_ndcg10=0.399843, user_hr10=0.656291, user_ndcg20=0.438426, user_hr20=0.808444
train_epoch=2, train_step=9650, overall_auc=0.915084, user_auc=0.908977, overall_logloss=0.139279, user_ndcg5=0.426046, user_hr5=0.595530, user_ndcg10=0.470669, user_hr10=0.733278, user_ndcg20=0.500709, user_hr20=0.851987
train_epoch=3, train_step=14475, overall_auc=0.922708, user_auc=0.916999, overall_logloss=0.136715, user_ndcg5=0.463686, user_hr5=0.629801, user_ndcg10=0.505245, user_hr10=0.756954, user_ndcg20=0.532772, user_hr20=0.865397
train_epoch=4, train_step=19300, overall_auc=0.927101, user_auc=0.921048, overall_logloss=0.132740, user_ndcg5=0.487253, user_hr5=0.652152, user_ndcg10=0.525346, user_hr10=0.769205, user_ndcg20=0.551673, user_hr20=0.872682
train_epoch=5, train_step=24125, overall_auc=0.930751, user_auc=0.924426, overall_logloss=0.128278, user_ndcg5=0.503927, user_hr5=0.667550, user_ndcg10=0.540526, user_hr10=0.780132, user_ndcg20=0.565812, user_hr20=0.879801
train_epoch=6, train_step=28950, overall_auc=0.933464, user_auc=0.926641, overall_logloss=0.125510, user_ndcg5=0.515787, user_hr5=0.678146, user_ndcg10=0.551900, user_hr10=0.789073, user_ndcg20=0.575604, user_hr20=0.882119
train_epoch=7, train_step=33775, overall_auc=0.935200, user_auc=0.928177, overall_logloss=0.123639, user_ndcg5=0.528114, user_hr5=0.689404, user_ndcg10=0.563679, user_hr10=0.798841, user_ndcg20=0.585644, user_hr20=0.885099
train_epoch=8, train_step=38600, overall_auc=0.936327, user_auc=0.929186, overall_logloss=0.122389, user_ndcg5=0.537265, user_hr5=0.697682, user_ndcg10=0.571965, user_hr10=0.804636, user_ndcg20=0.592925, user_hr20=0.887252
train_epoch=9, train_step=43425, overall_auc=0.937110, user_auc=0.929770, overall_logloss=0.121576, user_ndcg5=0.543518, user_hr5=0.700331, user_ndcg10=0.578058, user_hr10=0.806291, user_ndcg20=0.598974, user_hr20=0.888742
train_epoch=10, train_step=48250, overall_auc=0.937657, user_auc=0.930253, overall_logloss=0.121260, user_ndcg5=0.546562, user_hr5=0.704801, user_ndcg10=0.580049, user_hr10=0.807781, user_ndcg20=0.601098, user_hr20=0.890728
train_epoch=11, train_step=53075, overall_auc=0.938025, user_auc=0.930619, overall_logloss=0.121160, user_ndcg5=0.550496, user_hr5=0.709768, user_ndcg10=0.582752, user_hr10=0.808940, user_ndcg20=0.603525, user_hr20=0.890563
train_epoch=12, train_step=57900, overall_auc=0.938247, user_auc=0.930825, overall_logloss=0.121123, user_ndcg5=0.552677, user_hr5=0.710762, user_ndcg10=0.585183, user_hr10=0.810596, user_ndcg20=0.605532, user_hr20=0.890728
train_epoch=13, train_step=62725, overall_auc=0.938367, user_auc=0.930942, overall_logloss=0.121154, user_ndcg5=0.554400, user_hr5=0.712252, user_ndcg10=0.586318, user_hr10=0.810099, user_ndcg20=0.606736, user_hr20=0.890397
train_epoch=14, train_step=67550, overall_auc=0.938413, user_auc=0.930857, overall_logloss=0.121263, user_ndcg5=0.555021, user_hr5=0.714735, user_ndcg10=0.586043, user_hr10=0.809934, user_ndcg20=0.606327, user_hr20=0.889404
train_epoch=15, train_step=72375, overall_auc=0.938408, user_auc=0.930711, overall_logloss=0.121454, user_ndcg5=0.555414, user_hr5=0.715066, user_ndcg10=0.586320, user_hr10=0.809934, user_ndcg20=0.606611, user_hr20=0.889404
train_epoch=16, train_step=77200, overall_auc=0.938379, user_auc=0.930519, overall_logloss=0.121740, user_ndcg5=0.555503, user_hr5=0.715066, user_ndcg10=0.586932, user_hr10=0.811755, user_ndcg20=0.606657, user_hr20=0.889404
train_epoch=17, train_step=82025, overall_auc=0.938355, user_auc=0.930487, overall_logloss=0.122027, user_ndcg5=0.555315, user_hr5=0.714570, user_ndcg10=0.587083, user_hr10=0.812252, user_ndcg20=0.606534, user_hr20=0.888907
train_epoch=18, train_step=86850, overall_auc=0.938341, user_auc=0.930512, overall_logloss=0.122371, user_ndcg5=0.553993, user_hr5=0.712086, user_ndcg10=0.586638, user_hr10=0.812086, user_ndcg20=0.606130, user_hr20=0.888907
train_epoch=19, train_step=91675, overall_auc=0.938322, user_auc=0.930502, overall_logloss=0.122765, user_ndcg5=0.553185, user_hr5=0.710927, user_ndcg10=0.586203, user_hr10=0.812086, user_ndcg20=0.605945, user_hr20=0.890066
train_epoch=20, train_step=96500, overall_auc=0.938284, user_auc=0.930484, overall_logloss=0.123200, user_ndcg5=0.553438, user_hr5=0.710430, user_ndcg10=0.586206, user_hr10=0.810596, user_ndcg20=0.606385, user_hr20=0.890066
