train_epoch=1, train_step=4825, overall_auc=0.916041, user_auc=0.910098, overall_logloss=0.136284, user_ndcg5=0.430675, user_hr5=0.593874, user_ndcg10=0.476898, user_hr10=0.736093, user_ndcg20=0.507164, user_hr20=0.855298
train_epoch=2, train_step=9650, overall_auc=0.923148, user_auc=0.916986, overall_logloss=0.130420, user_ndcg5=0.464224, user_hr5=0.634934, user_ndcg10=0.505800, user_hr10=0.762914, user_ndcg20=0.532340, user_hr20=0.867053
train_epoch=3, train_step=14475, overall_auc=0.928457, user_auc=0.921809, overall_logloss=0.126767, user_ndcg5=0.487513, user_hr5=0.655960, user_ndcg10=0.527438, user_hr10=0.779139, user_ndcg20=0.552454, user_hr20=0.877483
train_epoch=4, train_step=19300, overall_auc=0.932272, user_auc=0.924983, overall_logloss=0.128152, user_ndcg5=0.503017, user_hr5=0.673841, user_ndcg10=0.540456, user_hr10=0.789404, user_ndcg20=0.564188, user_hr20=0.882616
train_epoch=5, train_step=24125, overall_auc=0.934308, user_auc=0.926764, overall_logloss=0.126815, user_ndcg5=0.517169, user_hr5=0.684272, user_ndcg10=0.552920, user_hr10=0.794040, user_ndcg20=0.576488, user_hr20=0.886921
train_epoch=6, train_step=28950, overall_auc=0.935288, user_auc=0.927900, overall_logloss=0.124544, user_ndcg5=0.523232, user_hr5=0.687748, user_ndcg10=0.559169, user_hr10=0.797848, user_ndcg20=0.582052, user_hr20=0.887583
train_epoch=7, train_step=33775, overall_auc=0.935993, user_auc=0.928709, overall_logloss=0.122684, user_ndcg5=0.529193, user_hr5=0.692053, user_ndcg10=0.565378, user_hr10=0.803146, user_ndcg20=0.587672, user_hr20=0.891060
train_epoch=8, train_step=38600, overall_auc=0.936210, user_auc=0.928979, overall_logloss=0.121630, user_ndcg5=0.532981, user_hr5=0.696026, user_ndcg10=0.568876, user_hr10=0.806291, user_ndcg20=0.589937, user_hr20=0.889238
train_epoch=9, train_step=43425, overall_auc=0.936387, user_auc=0.929328, overall_logloss=0.121566, user_ndcg5=0.536742, user_hr5=0.697517, user_ndcg10=0.571783, user_hr10=0.804967, user_ndcg20=0.593401, user_hr20=0.889735
train_epoch=10, train_step=48250, overall_auc=0.936545, user_auc=0.929492, overall_logloss=0.121946, user_ndcg5=0.540811, user_hr5=0.699834, user_ndcg10=0.575787, user_hr10=0.807450, user_ndcg20=0.597080, user_hr20=0.891225
train_epoch=11, train_step=53075, overall_auc=0.936732, user_auc=0.929654, overall_logloss=0.122509, user_ndcg5=0.541785, user_hr5=0.700828, user_ndcg10=0.577016, user_hr10=0.809272, user_ndcg20=0.597703, user_hr20=0.890894
train_epoch=12, train_step=57900, overall_auc=0.937077, user_auc=0.930010, overall_logloss=0.122802, user_ndcg5=0.544181, user_hr5=0.704139, user_ndcg10=0.578554, user_hr10=0.809934, user_ndcg20=0.598682, user_hr20=0.889073
train_epoch=13, train_step=62725, overall_auc=0.937233, user_auc=0.930174, overall_logloss=0.122948, user_ndcg5=0.546180, user_hr5=0.704305, user_ndcg10=0.580924, user_hr10=0.811258, user_ndcg20=0.600775, user_hr20=0.889404
train_epoch=14, train_step=67550, overall_auc=0.937382, user_auc=0.930236, overall_logloss=0.122362, user_ndcg5=0.546512, user_hr5=0.704967, user_ndcg10=0.580845, user_hr10=0.810265, user_ndcg20=0.601183, user_hr20=0.890232
train_epoch=15, train_step=72375, overall_auc=0.937389, user_auc=0.930303, overall_logloss=0.122200, user_ndcg5=0.548140, user_hr5=0.706954, user_ndcg10=0.582171, user_hr10=0.811589, user_ndcg20=0.602105, user_hr20=0.890066
train_epoch=16, train_step=77200, overall_auc=0.937317, user_auc=0.930393, overall_logloss=0.122610, user_ndcg5=0.549045, user_hr5=0.708444, user_ndcg10=0.582409, user_hr10=0.810927, user_ndcg20=0.602434, user_hr20=0.889404
train_epoch=17, train_step=82025, overall_auc=0.937507, user_auc=0.930773, overall_logloss=0.122348, user_ndcg5=0.550120, user_hr5=0.708775, user_ndcg10=0.583897, user_hr10=0.812417, user_ndcg20=0.603692, user_hr20=0.890066
train_epoch=18, train_step=86850, overall_auc=0.937356, user_auc=0.930649, overall_logloss=0.122502, user_ndcg5=0.548753, user_hr5=0.707450, user_ndcg10=0.582797, user_hr10=0.811589, user_ndcg20=0.602784, user_hr20=0.889901
train_epoch=19, train_step=91675, overall_auc=0.937351, user_auc=0.930557, overall_logloss=0.122498, user_ndcg5=0.548441, user_hr5=0.706954, user_ndcg10=0.583176, user_hr10=0.813742, user_ndcg20=0.602557, user_hr20=0.889901
train_epoch=20, train_step=96500, overall_auc=0.937309, user_auc=0.930935, overall_logloss=0.122077, user_ndcg5=0.550662, user_hr5=0.710099, user_ndcg10=0.584569, user_hr10=0.814404, user_ndcg20=0.603643, user_hr20=0.889238
