train_epoch=1, train_step=4825, overall_auc=0.922061, user_auc=0.915927, overall_logloss=0.129462, user_ndcg5=0.462921, user_hr5=0.628642, user_ndcg10=0.504677, user_hr10=0.757616, user_ndcg20=0.532079, user_hr20=0.865397
train_epoch=2, train_step=9650, overall_auc=0.930868, user_auc=0.924913, overall_logloss=0.123510, user_ndcg5=0.506378, user_hr5=0.669702, user_ndcg10=0.544735, user_hr10=0.787583, user_ndcg20=0.568850, user_hr20=0.882450
train_epoch=3, train_step=14475, overall_auc=0.934638, user_auc=0.928392, overall_logloss=0.121186, user_ndcg5=0.525552, user_hr5=0.694205, user_ndcg10=0.560493, user_hr10=0.802152, user_ndcg20=0.581890, user_hr20=0.886093
train_epoch=4, train_step=19300, overall_auc=0.936462, user_auc=0.929862, overall_logloss=0.121264, user_ndcg5=0.535554, user_hr5=0.699007, user_ndcg10=0.569997, user_hr10=0.804636, user_ndcg20=0.591438, user_hr20=0.888907
train_epoch=5, train_step=24125, overall_auc=0.937723, user_auc=0.931046, overall_logloss=0.122808, user_ndcg5=0.545221, user_hr5=0.707616, user_ndcg10=0.578592, user_hr10=0.810596, user_ndcg20=0.599200, user_hr20=0.892219
train_epoch=6, train_step=28950, overall_auc=0.938402, user_auc=0.931845, overall_logloss=0.124194, user_ndcg5=0.550333, user_hr5=0.708775, user_ndcg10=0.584333, user_hr10=0.813411, user_ndcg20=0.604568, user_hr20=0.893377
train_epoch=7, train_step=33775, overall_auc=0.938864, user_auc=0.932114, overall_logloss=0.125088, user_ndcg5=0.553356, user_hr5=0.711921, user_ndcg10=0.586258, user_hr10=0.813411, user_ndcg20=0.606322, user_hr20=0.892384
train_epoch=8, train_step=38600, overall_auc=0.939078, user_auc=0.932201, overall_logloss=0.125550, user_ndcg5=0.553694, user_hr5=0.712748, user_ndcg10=0.586656, user_hr10=0.814570, user_ndcg20=0.606293, user_hr20=0.891887
train_epoch=9, train_step=43425, overall_auc=0.939365, user_auc=0.932619, overall_logloss=0.125669, user_ndcg5=0.554888, user_hr5=0.712086, user_ndcg10=0.588642, user_hr10=0.816391, user_ndcg20=0.608515, user_hr20=0.895033
train_epoch=10, train_step=48250, overall_auc=0.939498, user_auc=0.932770, overall_logloss=0.125381, user_ndcg5=0.555767, user_hr5=0.711258, user_ndcg10=0.589046, user_hr10=0.813411, user_ndcg20=0.609759, user_hr20=0.895033
train_epoch=11, train_step=53075, overall_auc=0.939690, user_auc=0.932745, overall_logloss=0.125265, user_ndcg5=0.557176, user_hr5=0.712748, user_ndcg10=0.589965, user_hr10=0.813576, user_ndcg20=0.610375, user_hr20=0.893874
train_epoch=12, train_step=57900, overall_auc=0.939874, user_auc=0.932965, overall_logloss=0.125137, user_ndcg5=0.558739, user_hr5=0.713576, user_ndcg10=0.591438, user_hr10=0.814073, user_ndcg20=0.611737, user_hr20=0.893874
train_epoch=13, train_step=62725, overall_auc=0.939979, user_auc=0.933024, overall_logloss=0.125103, user_ndcg5=0.559372, user_hr5=0.715397, user_ndcg10=0.591828, user_hr10=0.815397, user_ndcg20=0.611611, user_hr20=0.893212
train_epoch=14, train_step=67550, overall_auc=0.940043, user_auc=0.933061, overall_logloss=0.124700, user_ndcg5=0.559248, user_hr5=0.714901, user_ndcg10=0.591997, user_hr10=0.815894, user_ndcg20=0.611609, user_hr20=0.892881
train_epoch=15, train_step=72375, overall_auc=0.940055, user_auc=0.933051, overall_logloss=0.124772, user_ndcg5=0.560123, user_hr5=0.715397, user_ndcg10=0.592817, user_hr10=0.816060, user_ndcg20=0.612185, user_hr20=0.892053
train_epoch=16, train_step=77200, overall_auc=0.940085, user_auc=0.933056, overall_logloss=0.125100, user_ndcg5=0.560096, user_hr5=0.715066, user_ndcg10=0.593039, user_hr10=0.816391, user_ndcg20=0.612202, user_hr20=0.891556
train_epoch=17, train_step=82025, overall_auc=0.940015, user_auc=0.933012, overall_logloss=0.125466, user_ndcg5=0.561332, user_hr5=0.716225, user_ndcg10=0.593788, user_hr10=0.816060, user_ndcg20=0.613140, user_hr20=0.891887
train_epoch=18, train_step=86850, overall_auc=0.939947, user_auc=0.932842, overall_logloss=0.125980, user_ndcg5=0.560799, user_hr5=0.715563, user_ndcg10=0.593322, user_hr10=0.815563, user_ndcg20=0.613023, user_hr20=0.892881
train_epoch=19, train_step=91675, overall_auc=0.939844, user_auc=0.932873, overall_logloss=0.126597, user_ndcg5=0.561910, user_hr5=0.715894, user_ndcg10=0.594378, user_hr10=0.815728, user_ndcg20=0.613931, user_hr20=0.892550
train_epoch=20, train_step=96500, overall_auc=0.939764, user_auc=0.932837, overall_logloss=0.126971, user_ndcg5=0.561806, user_hr5=0.716225, user_ndcg10=0.594216, user_hr10=0.815894, user_ndcg20=0.613523, user_hr20=0.891722
