train_epoch=1, train_step=4825, overall_auc=0.920744, user_auc=0.915290, overall_logloss=0.128661, user_ndcg5=0.458095, user_hr5=0.624172, user_ndcg10=0.501273, user_hr10=0.756623, user_ndcg20=0.528548, user_hr20=0.864735
train_epoch=2, train_step=9650, overall_auc=0.931396, user_auc=0.925169, overall_logloss=0.120950, user_ndcg5=0.512610, user_hr5=0.676987, user_ndcg10=0.549772, user_hr10=0.790728, user_ndcg20=0.573236, user_hr20=0.883775
train_epoch=3, train_step=14475, overall_auc=0.934897, user_auc=0.928524, overall_logloss=0.123168, user_ndcg5=0.526898, user_hr5=0.687086, user_ndcg10=0.563171, user_hr10=0.797517, user_ndcg20=0.586378, user_hr20=0.889073
train_epoch=4, train_step=19300, overall_auc=0.936671, user_auc=0.930136, overall_logloss=0.123770, user_ndcg5=0.536351, user_hr5=0.697020, user_ndcg10=0.571575, user_hr10=0.805132, user_ndcg20=0.593048, user_hr20=0.889735
train_epoch=5, train_step=24125, overall_auc=0.937425, user_auc=0.930666, overall_logloss=0.123720, user_ndcg5=0.541345, user_hr5=0.700331, user_ndcg10=0.576482, user_hr10=0.808113, user_ndcg20=0.597139, user_hr20=0.889238
train_epoch=6, train_step=28950, overall_auc=0.937901, user_auc=0.931062, overall_logloss=0.123407, user_ndcg5=0.545887, user_hr5=0.703808, user_ndcg10=0.580729, user_hr10=0.810927, user_ndcg20=0.601147, user_hr20=0.891225
train_epoch=7, train_step=33775, overall_auc=0.938269, user_auc=0.931372, overall_logloss=0.123778, user_ndcg5=0.547985, user_hr5=0.708444, user_ndcg10=0.581834, user_hr10=0.812583, user_ndcg20=0.602068, user_hr20=0.892219
train_epoch=8, train_step=38600, overall_auc=0.938471, user_auc=0.931529, overall_logloss=0.124306, user_ndcg5=0.547501, user_hr5=0.705629, user_ndcg10=0.583197, user_hr10=0.815232, user_ndcg20=0.602596, user_hr20=0.891556
train_epoch=9, train_step=43425, overall_auc=0.938595, user_auc=0.931674, overall_logloss=0.124778, user_ndcg5=0.549142, user_hr5=0.709603, user_ndcg10=0.583356, user_hr10=0.814570, user_ndcg20=0.602964, user_hr20=0.891556
train_epoch=10, train_step=48250, overall_auc=0.938780, user_auc=0.931890, overall_logloss=0.125334, user_ndcg5=0.551890, user_hr5=0.709603, user_ndcg10=0.586891, user_hr10=0.817053, user_ndcg20=0.606269, user_hr20=0.893543
train_epoch=11, train_step=53075, overall_auc=0.938900, user_auc=0.932034, overall_logloss=0.125933, user_ndcg5=0.551958, user_hr5=0.708775, user_ndcg10=0.587118, user_hr10=0.816225, user_ndcg20=0.606710, user_hr20=0.893377
train_epoch=12, train_step=57900, overall_auc=0.938953, user_auc=0.931853, overall_logloss=0.126290, user_ndcg5=0.552249, user_hr5=0.710596, user_ndcg10=0.586532, user_hr10=0.815563, user_ndcg20=0.606343, user_hr20=0.893543
train_epoch=13, train_step=62725, overall_auc=0.938916, user_auc=0.931604, overall_logloss=0.126921, user_ndcg5=0.552882, user_hr5=0.710596, user_ndcg10=0.586514, user_hr10=0.813245, user_ndcg20=0.607110, user_hr20=0.894205
train_epoch=14, train_step=67550, overall_auc=0.938892, user_auc=0.931601, overall_logloss=0.127495, user_ndcg5=0.552707, user_hr5=0.711258, user_ndcg10=0.586914, user_hr10=0.815894, user_ndcg20=0.606734, user_hr20=0.894040
train_epoch=15, train_step=72375, overall_auc=0.938770, user_auc=0.931368, overall_logloss=0.127875, user_ndcg5=0.553774, user_hr5=0.713079, user_ndcg10=0.587326, user_hr10=0.815894, user_ndcg20=0.607179, user_hr20=0.894205
train_epoch=16, train_step=77200, overall_auc=0.938613, user_auc=0.931445, overall_logloss=0.128305, user_ndcg5=0.554657, user_hr5=0.713411, user_ndcg10=0.588508, user_hr10=0.817053, user_ndcg20=0.608053, user_hr20=0.894205
train_epoch=17, train_step=82025, overall_auc=0.938432, user_auc=0.931342, overall_logloss=0.128737, user_ndcg5=0.553967, user_hr5=0.714735, user_ndcg10=0.587136, user_hr10=0.816225, user_ndcg20=0.606605, user_hr20=0.892881
train_epoch=18, train_step=86850, overall_auc=0.938327, user_auc=0.931299, overall_logloss=0.129269, user_ndcg5=0.554059, user_hr5=0.713245, user_ndcg10=0.588012, user_hr10=0.817219, user_ndcg20=0.607341, user_hr20=0.893377
train_epoch=19, train_step=91675, overall_auc=0.938210, user_auc=0.931278, overall_logloss=0.129429, user_ndcg5=0.554689, user_hr5=0.713245, user_ndcg10=0.588824, user_hr10=0.817881, user_ndcg20=0.607834, user_hr20=0.892715
train_epoch=20, train_step=96500, overall_auc=0.938135, user_auc=0.931169, overall_logloss=0.129702, user_ndcg5=0.553641, user_hr5=0.712086, user_ndcg10=0.588436, user_hr10=0.818874, user_ndcg20=0.606934, user_hr20=0.891722
