train_epoch=1, train_step=4825, overall_auc=0.921129, user_auc=0.914983, overall_logloss=0.128366, user_ndcg5=0.455654, user_hr5=0.619536, user_ndcg10=0.499685, user_hr10=0.754967, user_ndcg20=0.527368, user_hr20=0.864238
train_epoch=2, train_step=9650, overall_auc=0.931648, user_auc=0.925360, overall_logloss=0.124197, user_ndcg5=0.507468, user_hr5=0.673344, user_ndcg10=0.544075, user_hr10=0.785596, user_ndcg20=0.568109, user_hr20=0.879967
train_epoch=3, train_step=14475, overall_auc=0.935065, user_auc=0.928684, overall_logloss=0.122202, user_ndcg5=0.527535, user_hr5=0.689735, user_ndcg10=0.562671, user_hr10=0.796854, user_ndcg20=0.585269, user_hr20=0.885762
train_epoch=4, train_step=19300, overall_auc=0.936201, user_auc=0.929739, overall_logloss=0.121598, user_ndcg5=0.538180, user_hr5=0.698179, user_ndcg10=0.572505, user_hr10=0.803146, user_ndcg20=0.594281, user_hr20=0.889073
train_epoch=5, train_step=24125, overall_auc=0.936963, user_auc=0.930524, overall_logloss=0.121711, user_ndcg5=0.543254, user_hr5=0.697848, user_ndcg10=0.579268, user_hr10=0.808278, user_ndcg20=0.600294, user_hr20=0.891556
train_epoch=6, train_step=28950, overall_auc=0.937598, user_auc=0.931161, overall_logloss=0.122831, user_ndcg5=0.546638, user_hr5=0.702649, user_ndcg10=0.582054, user_hr10=0.811424, user_ndcg20=0.602311, user_hr20=0.891556
train_epoch=7, train_step=33775, overall_auc=0.938097, user_auc=0.931315, overall_logloss=0.123937, user_ndcg5=0.547014, user_hr5=0.703808, user_ndcg10=0.582610, user_hr10=0.813245, user_ndcg20=0.602242, user_hr20=0.890894
train_epoch=8, train_step=38600, overall_auc=0.938390, user_auc=0.931669, overall_logloss=0.125114, user_ndcg5=0.549211, user_hr5=0.706623, user_ndcg10=0.583258, user_hr10=0.811093, user_ndcg20=0.603409, user_hr20=0.890232
train_epoch=9, train_step=43425, overall_auc=0.938555, user_auc=0.931905, overall_logloss=0.126201, user_ndcg5=0.548949, user_hr5=0.706954, user_ndcg10=0.582857, user_hr10=0.811093, user_ndcg20=0.603352, user_hr20=0.891556
train_epoch=10, train_step=48250, overall_auc=0.938536, user_auc=0.932046, overall_logloss=0.127214, user_ndcg5=0.550837, user_hr5=0.708775, user_ndcg10=0.584406, user_hr10=0.811921, user_ndcg20=0.604958, user_hr20=0.892550
train_epoch=11, train_step=53075, overall_auc=0.938589, user_auc=0.932049, overall_logloss=0.127611, user_ndcg5=0.552933, user_hr5=0.709272, user_ndcg10=0.586594, user_hr10=0.812914, user_ndcg20=0.606995, user_hr20=0.893212
train_epoch=12, train_step=57900, overall_auc=0.938655, user_auc=0.932196, overall_logloss=0.128037, user_ndcg5=0.553687, user_hr5=0.708444, user_ndcg10=0.587737, user_hr10=0.813245, user_ndcg20=0.608106, user_hr20=0.893377
train_epoch=13, train_step=62725, overall_auc=0.938697, user_auc=0.932126, overall_logloss=0.128275, user_ndcg5=0.553609, user_hr5=0.708444, user_ndcg10=0.587532, user_hr10=0.812583, user_ndcg20=0.607813, user_hr20=0.892219
train_epoch=14, train_step=67550, overall_auc=0.938715, user_auc=0.932044, overall_logloss=0.128316, user_ndcg5=0.553153, user_hr5=0.708444, user_ndcg10=0.587528, user_hr10=0.814238, user_ndcg20=0.607360, user_hr20=0.892384
train_epoch=15, train_step=72375, overall_auc=0.938629, user_auc=0.931959, overall_logloss=0.128500, user_ndcg5=0.553631, user_hr5=0.708278, user_ndcg10=0.587635, user_hr10=0.812748, user_ndcg20=0.607808, user_hr20=0.892053
train_epoch=16, train_step=77200, overall_auc=0.938551, user_auc=0.931977, overall_logloss=0.128590, user_ndcg5=0.552994, user_hr5=0.708775, user_ndcg10=0.586947, user_hr10=0.813079, user_ndcg20=0.606786, user_hr20=0.891060
train_epoch=17, train_step=82025, overall_auc=0.938472, user_auc=0.931970, overall_logloss=0.129278, user_ndcg5=0.553136, user_hr5=0.709106, user_ndcg10=0.586560, user_hr10=0.811755, user_ndcg20=0.606866, user_hr20=0.891556
train_epoch=18, train_step=86850, overall_auc=0.938455, user_auc=0.932076, overall_logloss=0.129759, user_ndcg5=0.553835, user_hr5=0.709106, user_ndcg10=0.587415, user_hr10=0.812252, user_ndcg20=0.607300, user_hr20=0.890232
train_epoch=19, train_step=91675, overall_auc=0.938392, user_auc=0.931979, overall_logloss=0.130231, user_ndcg5=0.554269, user_hr5=0.708609, user_ndcg10=0.587903, user_hr10=0.811921, user_ndcg20=0.607863, user_hr20=0.890232
train_epoch=20, train_step=96500, overall_auc=0.938331, user_auc=0.931842, overall_logloss=0.130448, user_ndcg5=0.554050, user_hr5=0.707616, user_ndcg10=0.587154, user_hr10=0.808940, user_ndcg20=0.607760, user_hr20=0.889570
